2453210.35547 1.462 0.014
2453210.35594 1.444 0.013
2453210.35640 1.496 0.014
2453210.35734 1.481 0.014
2453210.35780 1.506 0.014
2453210.35827 1.431 0.013
2453210.35873 1.478 0.013
2453210.35920 1.423 0.013
2453210.35967 1.438 0.013
2453210.36013 1.446 0.013
2453210.36059 1.411 0.013
2453210.36107 1.469 0.013
2453210.36153 1.405 0.013
2453210.36199 1.424 0.013
2453210.36246 1.410 0.013
2453210.36293 1.430 0.013
2453210.36339 1.454 0.014
2453210.36386 1.442 0.013
2453210.36432 1.401 0.013
2453210.36479 1.392 0.013
2453210.36526 1.396 0.013
2453210.36618 1.388 0.013
2453210.36666 1.364 0.013
2453210.36758 1.411 0.013
2453210.36805 1.395 0.013
2453210.36852 1.360 0.013
2453210.36945 1.357 0.013
2453210.37038 1.352 0.013
2453210.37085 1.351 0.013
2453210.37131 1.303 0.012
2453210.37177 1.325 0.013
2453210.37225 1.350 0.013
2453210.37271 1.332 0.012
2453210.37317 1.327 0.012
2453210.37364 1.313 0.012
2453210.37411 1.320 0.012
2453210.37457 1.326 0.012
2453210.37504 1.324 0.012
2453210.37550 1.279 0.012
2453210.37598 1.325 0.013
2453210.37690 1.275 0.012
2453210.37830 1.255 0.012
2453210.37876 1.264 0.012
2453210.37923 1.275 0.012
2453210.37970 1.305 0.012
2453210.38017 1.307 0.012
2453210.38063 1.267 0.012
2453210.38157 1.235 0.012
2453210.38203 1.238 0.012
2453210.38249 1.265 0.012
2453210.38295 1.245 0.012
2453210.38461 1.250 0.012
2453210.38507 1.257 0.012
2453210.38555 1.240 0.012
2453210.38601 1.227 0.012
2453210.38647 1.250 0.012
2453210.38695 1.250 0.012
2453210.38741 1.253 0.012
2453210.38787 1.249 0.012
2453210.38834 1.284 0.012
2453210.38881 1.247 0.012
2453210.38927 1.232 0.012
2453210.38974 1.212 0.012
2453210.39020 1.233 0.012
2453210.39067 1.187 0.011
2453210.39114 1.189 0.011
2453210.39160 1.191 0.011
2453210.39206 1.202 0.011
2453210.39254 1.192 0.012
2453210.39300 1.215 0.012
2453210.39346 1.202 0.012
2453210.39393 1.228 0.012
2453210.39440 1.211 0.012
2453210.39486 1.234 0.012
2453210.39533 1.217 0.011
2453210.39579 1.239 0.012
2453210.39626 1.204 0.011
2453210.39673 1.270 0.012
2453210.39765 1.212 0.012
2453210.39813 1.246 0.012
2453210.39859 1.195 0.011
2453210.39952 1.220 0.012
2453210.39999 1.216 0.012
2453210.40045 1.228 0.012
2453210.40092 1.214 0.012
2453210.40185 1.187 0.012
2453210.40232 1.201 0.011
2453210.40278 1.180 0.011
2453210.40324 1.179 0.011
2453210.40372 1.175 0.011
2453210.40418 1.205 0.011
2453210.40511 1.219 0.012
2453210.40558 1.182 0.012
2453210.40604 1.183 0.011
2453210.40697 1.204 0.011
2453210.40791 1.231 0.012
2453210.40837 1.215 0.012
2453210.40883 1.192 0.012
2453210.40931 1.217 0.011
2453210.40977 1.227 0.012
2453210.41023 1.213 0.011
2453210.41070 1.216 0.012
2453210.41117 1.200 0.012
2453210.41163 1.194 0.011
2453210.41210 1.220 0.012
2453210.41257 1.222 0.012
2453210.41304 1.186 0.011
2453210.41350 1.155 0.011
2453210.41396 1.231 0.012
2453210.41444 1.208 0.012
2453210.41490 1.202 0.011
2453210.41536 1.181 0.011
2453210.41582 1.204 0.012
2453210.41630 1.178 0.012
2453210.41676 1.186 0.011
2453210.41723 1.186 0.012
2453210.41863 1.174 0.012
2453210.41909 1.194 0.012
2453210.42003 1.206 0.012
2453210.42049 1.183 0.011
2453210.42095 1.208 0.011
2453210.42142 1.228 0.012
2453210.42235 1.210 0.011
2453210.42282 1.220 0.012
2453210.42328 1.160 0.011
2453210.42375 1.171 0.011
2453210.42422 1.166 0.011
2453210.42468 1.190 0.011
2453210.42514 1.165 0.011
2453210.42562 1.176 0.011
2453210.42654 1.183 0.011
2453210.42701 1.165 0.011
2453210.42748 1.158 0.011
2453210.42794 1.144 0.011
2453210.42887 1.142 0.011
2453210.42934 1.148 0.011
2453210.43027 1.170 0.011
2453210.43073 1.153 0.011
2453210.43167 1.171 0.011
2453210.43213 1.168 0.011
2453210.43260 1.167 0.011
2453210.43353 1.223 0.011
2453210.43400 1.173 0.011
2453210.43446 1.174 0.011
2453210.43493 1.179 0.011
2453210.43540 1.195 0.011
2453210.43586 1.202 0.011
2453210.43632 1.171 0.011
2453210.43680 1.215 0.011
2453210.43726 1.174 0.011
2453210.43772 1.213 0.011
2453210.43819 1.213 0.011
2453210.43866 1.214 0.011
2453210.43959 1.202 0.011
2453210.44005 1.213 0.011
2453210.44052 1.240 0.012
2453210.44099 1.234 0.011
2453210.44145 1.227 0.011
2453210.44191 1.210 0.011
2453210.44239 1.250 0.011
2453210.44285 1.237 0.011
2453210.44331 1.165 0.011
2453210.44378 1.184 0.011
2453210.44425 1.209 0.011
2453210.44471 1.212 0.011
2453210.44518 1.191 0.011
2453210.44564 1.212 0.011
2453210.44611 1.177 0.011
2453210.44658 1.188 0.011
2453210.44750 1.188 0.011
2453210.44798 1.184 0.011
2453210.44844 1.224 0.011
2453210.44890 1.215 0.011
2453210.44937 1.215 0.011
2453210.44984 1.199 0.011
2453210.45030 1.213 0.011
2453210.45077 1.213 0.011
2453210.45123 1.213 0.011
2453210.45170 1.176 0.011
2453210.45217 1.168 0.011
2453210.45263 1.179 0.011
2453210.45309 1.143 0.011
2453210.45357 1.174 0.011
2453210.45403 1.173 0.011
2453210.45449 1.191 0.011
2453210.45496 1.205 0.011
2453210.45543 1.200 0.011
2453210.45589 1.220 0.011
2453210.45636 1.193 0.011
2453210.45683 1.203 0.011
2453210.45729 1.230 0.012
