JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 12.00
2453236.35250 -1.384 0.014 0.075 0.008 0.117 0.008 1.459 0.014 1.501 0.014 0.042 0.007
2453236.35287 -1.309 0.014 0.174 0.008 0.194 0.008 1.483 0.014 1.503 0.014 0.020 0.007
2453236.35324 -1.382 0.014 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.35361 -1.317 0.014 0.156 0.008 0.176 0.008 1.473 0.014 1.493 0.014 0.020 0.007
2453236.35399 -1.288 0.014 0.170 0.008 0.203 0.008 1.458 0.014 1.491 0.014 0.033 0.007
2453236.35436 -1.308 0.014 0.168 0.008 0.196 0.008 1.476 0.014 1.504 0.014 0.028 0.007
2453236.35473 -1.319 0.014 0.140 0.008 0.147 0.008 1.459 0.014 1.466 0.014 0.007 0.007
2453236.35510 -1.364 0.014 0.099 0.008 0.119 0.008 1.463 0.014 1.483 0.014 0.020 0.007
2453236.35549 -1.307 0.014 0.148 0.008 0.151 0.008 1.455 0.014 1.458 0.014 0.003 0.007
2453236.35586 -1.289 0.014 0.165 0.008 0.172 0.008 1.454 0.014 1.461 0.014 0.007 0.007
2453236.35623 -1.380 0.014 0.073 0.008 0.115 0.008 1.453 0.014 1.495 0.014 0.042 0.007
2453236.35661 -1.388 0.014 0.073 0.008 0.116 0.008 1.461 0.014 1.504 0.014 0.043 0.007
2453236.35698 -1.323 0.014 99.999 9.999 0.159 0.008 99.999 9.999 1.482 0.014 99.999 9.999
2453236.35735 -1.323 0.014 0.147 0.008 0.158 0.008 1.470 0.014 1.481 0.014 0.011 0.007
2453236.35772 -1.358 0.014 0.082 0.008 0.103 0.008 1.440 0.014 1.461 0.014 0.021 0.007
2453236.35810 -1.417 0.014 0.045 0.007 0.098 0.007 1.462 0.014 1.515 0.014 0.053 0.007
2453236.35847 -1.408 0.014 0.053 0.007 0.111 0.007 1.461 0.014 1.519 0.014 0.058 0.007
2453236.35884 -1.417 0.014 0.056 0.007 0.079 0.007 1.473 0.014 1.496 0.014 0.023 0.007


2453236.35959 -1.461 0.014 0.020 0.007 0.051 0.007 1.481 0.014 1.512 0.014 0.031 0.007
2453236.35997 -1.398 0.014 0.049 0.007 0.075 0.007 1.447 0.014 1.473 0.014 0.026 0.007
2453236.36034 99.999 9.999 99.999 9.999 0.094 0.007 99.999 9.999 99.999 9.999 99.999 9.999
2453236.36071 -1.377 0.013 0.090 0.007 0.100 0.007 1.467 0.013 1.477 0.013 0.010 0.007
2453236.36109 -1.390 0.014 0.054 0.007 0.080 0.007 1.444 0.014 1.470 0.014 0.026 0.007
2453236.36146 99.999 9.999 99.999 9.999 0.086 0.007 99.999 9.999 99.999 9.999 99.999 9.999
2453236.36183 -1.474 0.014 99.999 9.999 0.047 0.007 99.999 9.999 1.521 0.014 99.999 9.999
