JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 10.00
2453209.37903 -1.934 0.017 -0.476 0.008 -0.461 0.008 1.458 0.017 1.473 0.017 0.015 0.008
2453209.37975 99.999 9.999 99.999 9.999 -0.462 0.008 99.999 9.999 99.999 9.999 99.999 9.999
2453209.38046 -1.924 0.017 -0.481 0.008 -0.454 0.008 1.443 0.017 1.470 0.017 0.027 0.008
2453209.38119 -1.962 0.017 -0.451 0.008 -0.455 0.008 1.511 0.017 1.507 0.017 -0.004 0.008
2453209.38191 -1.915 0.017 -0.452 0.008 -0.472 0.008 1.463 0.017 1.443 0.017 -0.020 0.008
2453209.38263 -1.921 0.016 -0.482 0.008 -0.467 0.008 1.439 0.016 1.454 0.016 0.015 0.008
2453209.38334 -1.938 0.018 -0.465 0.008 -0.437 0.008 1.473 0.018 1.501 0.018 0.028 0.008
2453209.38407 -1.874 0.017 -0.460 0.008 -0.443 0.008 1.414 0.017 1.431 0.017 0.017 0.008
2453209.38479 -1.917 0.017 -0.451 0.008 -0.448 0.008 1.466 0.017 1.469 0.017 0.003 0.008
2453209.38551 -1.921 0.017 -0.465 0.008 -0.439 0.008 1.456 0.017 1.482 0.017 0.026 0.008
2453209.38623 99.999 9.999 99.999 9.999 -0.436 0.008 99.999 9.999 99.999 9.999 99.999 9.999
2453209.38696 99.999 9.999 99.999 9.999 -0.425 0.008 99.999 9.999 99.999 9.999 99.999 9.999
2453209.38767 99.999 9.999 99.999 9.999 -0.418 0.008 99.999 9.999 99.999 9.999 99.999 9.999
2453209.38839 -1.914 0.019 -0.448 0.008 -0.429 0.008 1.466 0.019 1.485 0.019 0.019 0.008
2453209.38911 -1.888 0.018 -0.435 0.008 -0.436 0.009 1.453 0.018 1.452 0.018 -0.001 0.009
2453209.38984 -1.916 0.019 -0.463 0.009 -0.428 0.009 1.453 0.019 1.488 0.019 0.035 0.010
2453209.39056 -1.885 0.020 -0.435 0.009 -0.372 0.009 1.450 0.020 1.513 0.020 0.063 0.010
2453209.39127 99.999 9.999 99.999 9.999 -0.398 0.009 99.999 9.999 99.999 9.999 99.999 9.999
2453209.39199 -1.859 0.019 -0.430 0.009 -0.394 0.009 1.429 0.019 1.465 0.019 0.036 0.010
2453209.39272 99.999 9.999 99.999 9.999 -0.392 0.009 99.999 9.999 99.999 9.999 99.999 9.999
2453209.39344 -1.849 0.019 -0.407 0.009 -0.377 0.009 1.442 0.019 1.472 0.019 0.030 0.010
2453209.39416 -1.873 0.018 -0.406 0.009 -0.400 0.009 1.467 0.018 1.473 0.018 0.006 0.010
