JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 20.00


2453224.38583 -1.946 0.010 -0.443 0.005 -0.442 0.005 1.503 0.011 1.504 0.011 0.001 0.006
2453224.38622 -1.911 0.010 -0.429 0.005 -0.432 0.005 1.482 0.011 1.479 0.011 -0.003 0.006
2453224.38659 -1.897 0.010 -0.421 0.005 -0.411 0.005 1.476 0.011 1.486 0.011 0.010 0.006
2453224.38696 -1.905 0.010 -0.408 0.005 -0.419 0.005 1.497 0.011 1.486 0.011 -0.011 0.006
2453224.38733 -1.918 0.010 99.999 9.999 -0.424 0.005 99.999 9.999 1.494 0.011 99.999 9.999
2453224.38771 -1.877 0.010 -0.414 0.005 -0.412 0.005 1.463 0.011 1.465 0.011 0.002 0.006
2453224.38808 -1.897 0.010 -0.446 0.005 -0.436 0.005 1.451 0.011 1.461 0.011 0.010 0.006
2453224.38845 -1.892 0.010 -0.424 0.005 -0.409 0.005 1.468 0.011 1.483 0.011 0.015 0.006
2453224.38882 -1.923 0.011 -0.412 0.005 -0.404 0.005 1.511 0.012 1.519 0.012 0.008 0.006
2453224.38920 -1.911 0.011 -0.402 0.005 -0.398 0.005 1.509 0.012 1.513 0.012 0.004 0.006
2453224.38957 -1.895 0.011 -0.416 0.005 -0.404 0.005 1.479 0.012 1.491 0.012 0.012 0.006
2453224.38994 -1.900 0.011 -0.409 0.005 -0.423 0.005 1.491 0.012 1.477 0.012 -0.014 0.006
2453224.39031 -1.885 0.011 -0.410 0.005 -0.387 0.005 1.475 0.012 1.498 0.012 0.023 0.006
2453224.39069 -1.914 0.013 -0.428 0.006 -0.457 0.006 1.486 0.013 1.457 0.013 -0.029 0.007
2453224.39106 -1.872 0.012 -0.402 0.006 -0.407 0.006 1.470 0.012 1.465 0.012 -0.005 0.006
2453224.39144 -1.893 0.013 -0.403 0.006 -0.396 0.006 1.490 0.013 1.497 0.013 0.007 0.006
2453224.39181 -1.883 0.012 -0.398 0.006 -0.392 0.006 1.485 0.012 1.491 0.012 0.006 0.006
2453224.39219 -1.860 0.012 -0.384 0.006 -0.376 0.006 1.476 0.012 1.484 0.012 0.008 0.006
2453224.39256 -1.896 0.011 99.999 9.999 -0.381 0.005 99.999 9.999 1.515 0.012 99.999 9.999
2453224.39293 -1.858 0.011 -0.365 0.005 -0.373 0.005 1.493 0.012 1.485 0.012 -0.008 0.006
2453224.39330 -1.862 0.011 -0.389 0.005 -0.385 0.005 1.473 0.012 1.477 0.012 0.004 0.006
2453224.39368 -1.878 0.011 -0.382 0.005 -0.394 0.005 1.496 0.012 1.484 0.012 -0.012 0.006
2453224.39405 -1.831 0.010 -0.387 0.005 -0.388 0.005 1.444 0.011 1.443 0.011 -0.001 0.006
2453224.39442 -1.859 0.011 -0.388 0.005 -0.390 0.005 1.471 0.012 1.469 0.012 -0.002 0.006
2453224.39479 -1.859 0.011 -0.380 0.005 -0.387 0.005 1.479 0.012 1.472 0.012 -0.007 0.006
2453224.39517 -1.856 0.010 -0.360 0.005 -0.371 0.005 1.496 0.011 1.485 0.011 -0.011 0.006
2453224.39554 -1.844 0.010 -0.383 0.005 -0.367 0.005 1.461 0.011 1.477 0.011 0.016 0.006
2453224.39591 -1.877 0.011 -0.369 0.005 -0.360 0.005 1.508 0.012 1.517 0.012 0.009 0.006
2453224.39628 -1.828 0.011 -0.340 0.005 -0.333 0.005 1.488 0.012 1.495 0.012 0.007 0.006
2453224.39667 -1.860 0.010 -0.378 0.005 -0.377 0.005 1.482 0.011 1.483 0.011 0.001 0.006
2453224.39704 -1.845 0.010 -0.362 0.005 -0.359 0.005 1.483 0.011 1.486 0.011 0.003 0.006
2453224.39741 -1.827 0.011 -0.328 0.005 -0.323 0.005 1.499 0.012 1.504 0.012 0.005 0.006
2453224.39778 -1.823 0.010 -0.363 0.005 -0.364 0.005 1.460 0.011 1.459 0.011 -0.001 0.006
2453224.39853 -1.828 0.010 -0.357 0.005 -0.358 0.005 1.471 0.011 1.470 0.011 -0.001 0.006
2453224.39890 -1.858 0.011 -0.352 0.005 -0.358 0.005 1.506 0.012 1.500 0.012 -0.006 0.006
2453224.39927 -1.845 0.010 -0.368 0.005 -0.362 0.005 1.477 0.011 1.483 0.011 0.006 0.006
2453224.39965 -1.833 0.011 -0.348 0.005 -0.336 0.005 1.485 0.012 1.497 0.012 0.012 0.006
2453224.40002 -1.812 0.012 -0.330 0.006 -0.325 0.006 1.482 0.012 1.487 0.012 0.005 0.006
2453224.40039 -1.813 0.012 -0.316 0.006 -0.313 0.006 1.497 0.012 1.500 0.012 0.003 0.006
2453224.40076 -1.809 0.012 -0.327 0.006 -0.318 0.006 1.482 0.012 1.491 0.012 0.009 0.006
2453224.40115 -1.797 0.011 -0.324 0.006 -0.328 0.006 1.473 0.011 1.469 0.011 -0.004 0.006
2453224.40152 -1.774 0.010 -0.311 0.005 -0.303 0.005 1.463 0.011 1.471 0.011 0.008 0.006
2453224.40189 -1.793 0.010 -0.323 0.005 -0.315 0.005 1.470 0.011 1.478 0.011 0.008 0.006
2453224.40226 -1.788 0.010 -0.299 0.005 -0.304 0.005 1.489 0.011 1.484 0.011 -0.005 0.006
2453224.40264 -1.769 0.010 -0.292 0.005 -0.289 0.005 1.477 0.011 1.480 0.011 0.003 0.006
2453224.40301 -1.825 0.010 -0.315 0.005 -0.322 0.005 1.510 0.011 1.503 0.011 -0.007 0.006
2453224.40338 -1.792 0.010 -0.284 0.005 -0.285 0.005 1.508 0.011 1.507 0.011 -0.001 0.006
2453224.40375 -1.768 0.010 -0.296 0.005 -0.313 0.005 1.472 0.011 1.455 0.011 -0.017 0.006
2453224.40413 -1.759 0.010 -0.278 0.005 -0.288 0.005 1.481 0.011 1.471 0.011 -0.010 0.006
2453224.40450 -1.775 0.010 -0.262 0.005 -0.282 0.005 1.513 0.011 1.493 0.011 -0.020 0.006
2453224.40487 -1.773 0.010 -0.289 0.005 -0.301 0.005 1.484 0.011 1.472 0.011 -0.012 0.006
2453224.40524 -1.801 0.010 -0.305 0.005 -0.301 0.005 1.496 0.011 1.500 0.011 0.004 0.006
2453224.40562 -1.766 0.010 -0.274 0.005 -0.287 0.005 1.492 0.011 1.479 0.011 -0.013 0.006
2453224.40600 -1.730 0.010 -0.252 0.005 -0.249 0.005 1.478 0.011 1.481 0.011 0.003 0.006
2453224.40637 -1.751 0.011 -0.265 0.006 -0.265 0.006 1.486 0.011 1.486 0.011 0.000 0.006
2453224.40674 -1.747 0.011 -0.240 0.006 -0.250 0.006 1.507 0.011 1.497 0.011 -0.010 0.006
2453224.40712 -1.748 0.010 -0.271 0.005 -0.264 0.005 1.477 0.011 1.484 0.011 0.007 0.006
2453224.40749 -1.716 0.011 -0.231 0.006 -0.235 0.006 1.485 0.011 1.481 0.011 -0.004 0.006
2453224.40786 -1.749 0.011 -0.251 0.006 -0.254 0.006 1.498 0.011 1.495 0.011 -0.003 0.006
2453224.40823 -1.719 0.011 -0.233 0.006 -0.247 0.006 1.486 0.011 1.472 0.011 -0.014 0.006
2453224.40861 -1.698 0.011 -0.227 0.006 -0.235 0.006 1.471 0.011 1.463 0.011 -0.008 0.006
2453224.40898 -1.671 0.011 -0.208 0.006 -0.212 0.006 1.463 0.011 1.459 0.011 -0.004 0.006
2453224.40935 -1.681 0.011 -0.209 0.006 -0.208 0.006 1.472 0.011 1.473 0.011 0.001 0.006


2453224.41010 -1.707 0.011 -0.206 0.006 -0.230 0.006 1.501 0.011 1.477 0.011 -0.024 0.006
2453224.41047 -1.672 0.011 -0.165 0.006 -0.183 0.006 1.507 0.011 1.489 0.011 -0.018 0.006
2453224.41084 -1.681 0.011 -0.196 0.006 -0.193 0.006 1.485 0.011 1.488 0.011 0.003 0.006
2453224.41122 -1.665 0.011 -0.177 0.006 -0.183 0.006 1.488 0.011 1.482 0.011 -0.006 0.006
2453224.41160 -1.678 0.011 -0.187 0.006 -0.185 0.006 1.491 0.011 1.493 0.011 0.002 0.006
2453224.41197 -1.657 0.011 -0.173 0.006 -0.180 0.006 1.484 0.011 1.477 0.011 -0.007 0.006
2453224.41234 -1.636 0.011 -0.167 0.006 -0.174 0.006 1.469 0.011 1.462 0.011 -0.007 0.006
2453224.41271 -1.625 0.011 -0.147 0.006 -0.144 0.006 1.478 0.011 1.481 0.011 0.003 0.006
2453224.41309 -1.653 0.011 -0.164 0.006 -0.164 0.006 1.489 0.011 1.489 0.011 0.000 0.006


2453224.41383 -1.615 0.011 -0.135 0.006 -0.152 0.006 1.480 0.011 1.463 0.011 -0.017 0.006
2453224.41420 -1.642 0.011 -0.148 0.006 -0.153 0.006 1.494 0.011 1.489 0.011 -0.005 0.006
2453224.41458 -1.607 0.011 -0.118 0.006 -0.125 0.006 1.489 0.011 1.482 0.011 -0.007 0.006
2453224.41495 -1.583 0.011 -0.100 0.006 -0.107 0.006 1.483 0.011 1.476 0.011 -0.007 0.006
2453224.41532 -1.578 0.011 -0.113 0.006 -0.117 0.006 1.465 0.011 1.461 0.011 -0.004 0.006


2453224.41608 -1.571 0.011 -0.097 0.006 -0.124 0.006 1.474 0.011 1.447 0.011 -0.027 0.006
2453224.41645 -1.573 0.011 -0.063 0.006 -0.071 0.006 1.510 0.011 1.502 0.011 -0.008 0.006
2453224.41682 -1.569 0.011 -0.073 0.006 -0.084 0.006 1.496 0.011 1.485 0.011 -0.011 0.006
2453224.41719 -1.563 0.011 -0.062 0.006 -0.071 0.006 1.501 0.011 1.492 0.011 -0.009 0.006
2453224.41757 -1.546 0.011 -0.067 0.006 -0.070 0.006 1.479 0.011 1.476 0.011 -0.003 0.006
2453224.41794 -1.547 0.011 -0.045 0.006 -0.064 0.006 1.502 0.011 1.483 0.011 -0.019 0.006


2453224.41868 -1.544 0.011 -0.042 0.006 -0.045 0.006 1.502 0.011 1.499 0.011 -0.003 0.006
2453224.41906 -1.530 0.011 -0.059 0.006 -0.048 0.006 1.471 0.011 1.482 0.011 0.011 0.006
2453224.41943 -1.515 0.011 -0.031 0.006 -0.025 0.006 1.484 0.011 1.490 0.011 0.006 0.006
2453224.41980 -1.522 0.011 -0.029 0.006 -0.047 0.006 1.493 0.011 1.475 0.011 -0.018 0.006
2453224.42017 -1.496 0.011 -0.006 0.006 -0.014 0.006 1.490 0.011 1.482 0.011 -0.008 0.006
2453224.42056 -1.501 0.011 -0.014 0.006 -0.009 0.006 1.487 0.011 1.492 0.011 0.005 0.006
2453224.42093 -1.511 0.011 -0.033 0.006 -0.035 0.006 1.478 0.011 1.476 0.011 -0.002 0.006
2453224.42130 -1.481 0.011 -0.007 0.006 -0.008 0.006 1.474 0.011 1.473 0.011 -0.001 0.006
2453224.42167 -1.464 0.011 0.014 0.006 0.019 0.006 1.478 0.011 1.483 0.011 0.005 0.006
2453224.42205 -1.473 0.011 0.030 0.006 0.017 0.006 1.503 0.011 1.490 0.011 -0.013 0.006
2453224.42242 -1.450 0.011 0.033 0.006 0.022 0.006 1.483 0.011 1.472 0.011 -0.011 0.006
2453224.42279 -1.464 0.011 0.035 0.006 0.015 0.006 1.499 0.011 1.479 0.011 -0.020 0.006
2453224.42316 -1.418 0.011 0.053 0.006 0.047 0.006 1.471 0.011 1.465 0.011 -0.006 0.006
2453224.42354 99.999 9.999 99.999 9.999 0.008 0.006 99.999 9.999 99.999 9.999 99.999 9.999
2453224.42391 -1.442 0.011 0.026 0.006 0.019 0.006 1.468 0.011 1.461 0.011 -0.007 0.006
2453224.42428 -1.407 0.011 0.079 0.006 0.072 0.006 1.486 0.011 1.479 0.011 -0.007 0.006


2453224.42503 -1.457 0.011 0.036 0.006 0.011 0.006 1.493 0.011 1.468 0.011 -0.025 0.006
