JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 20.00
2453208.39789 -1.965 0.009 -0.472 0.005 -0.471 0.005 1.493 0.010 1.494 0.010 0.001 0.006
2453208.39954 -1.948 0.010 -0.471 0.005 -0.460 0.005 1.477 0.011 1.488 0.011 0.011 0.006
2453208.40118 -1.932 0.009 -0.459 0.005 -0.464 0.005 1.473 0.010 1.468 0.010 -0.005 0.006
2453208.40284 -1.949 0.010 -0.422 0.005 -0.420 0.005 1.527 0.011 1.529 0.011 0.002 0.006
2453208.40448 -1.917 0.009 -0.438 0.005 -0.435 0.005 1.479 0.010 1.482 0.010 0.003 0.006
2453208.40612 -1.934 0.009 -0.441 0.005 -0.446 0.005 1.493 0.010 1.488 0.010 -0.005 0.006
2453208.40777 -1.905 0.009 -0.413 0.005 -0.395 0.005 1.492 0.010 1.510 0.010 0.018 0.006
2453208.40942 -1.895 0.009 -0.403 0.005 -0.396 0.005 1.492 0.010 1.499 0.010 0.007 0.006
2453208.41106 -1.894 0.009 -0.421 0.005 -0.454 0.005 1.473 0.010 1.440 0.010 -0.033 0.006
2453208.41271 -1.849 0.009 -0.380 0.005 -0.405 0.005 1.469 0.010 1.444 0.010 -0.025 0.006
2453208.41435 -1.856 0.009 -0.377 0.005 -0.404 0.005 1.479 0.010 1.452 0.010 -0.027 0.006
2453208.41601 -1.855 0.009 -0.354 0.005 -0.346 0.005 1.501 0.010 1.509 0.010 0.008 0.006
2453208.41765 -1.821 0.009 -0.359 0.005 -0.374 0.005 1.462 0.010 1.447 0.010 -0.015 0.006
2453208.41929 -1.846 0.009 -0.339 0.005 -0.333 0.005 1.507 0.010 1.513 0.010 0.006 0.006
2453208.42094 -1.770 0.009 -0.303 0.005 -0.327 0.005 1.467 0.010 1.443 0.010 -0.024 0.006
2453208.42259 -1.762 0.009 -0.319 0.005 -0.332 0.005 1.443 0.010 1.430 0.010 -0.013 0.006
2453208.42424 -1.760 0.009 99.999 9.999 -0.279 0.005 99.999 9.999 1.481 0.010 99.999 9.999
2453208.42588 -1.702 0.009 -0.214 0.005 -0.221 0.005 1.488 0.010 1.481 0.010 -0.007 0.006
2453208.42752 -1.703 0.009 -0.231 0.005 -0.257 0.005 1.472 0.010 1.446 0.010 -0.026 0.006
2453208.42918 -1.666 0.009 -0.186 0.005 -0.154 0.005 1.480 0.010 1.512 0.010 0.032 0.006
2453208.43082 -1.667 0.009 -0.190 0.005 -0.188 0.005 1.477 0.010 1.479 0.010 0.002 0.006
2453208.43247 -1.610 0.010 -0.118 0.006 -0.108 0.006 1.492 0.010 1.502 0.010 0.010 0.006
2453208.43411 -1.607 0.010 99.999 9.999 -0.087 0.006 99.999 9.999 1.520 0.010 99.999 9.999
2453208.43576 -1.572 0.010 -0.082 0.006 -0.098 0.006 1.490 0.010 1.474 0.010 -0.016 0.006
2453208.43741 -1.518 0.010 -0.042 0.006 99.999 9.999 1.476 0.010 99.999 9.999 99.999 9.999
2453208.43905 -1.505 0.010 -0.025 0.006 -0.004 0.006 1.480 0.010 1.501 0.010 0.021 0.006
2453208.44069 -1.464 0.010 0.050 0.006 0.082 0.006 1.514 0.010 1.546 0.010 0.032 0.006
2453208.44235 -1.441 0.010 0.015 0.006 0.052 0.006 1.456 0.010 1.493 0.010 0.037 0.006




2453208.44729 -1.434 0.010 0.024 0.006 0.019 0.006 1.458 0.010 1.453 0.010 -0.005 0.006
2453208.44894 -1.434 0.010 0.043 0.006 99.999 9.999 1.477 0.010 99.999 9.999 99.999 9.999
2453208.45058 -1.420 0.010 0.026 0.006 0.025 0.006 1.446 0.010 1.445 0.010 -0.001 0.006
2453208.45222 -1.415 0.010 0.058 0.006 0.069 0.006 1.473 0.010 1.484 0.010 0.011 0.006
2453208.45388 -1.426 0.010 0.030 0.006 0.020 0.006 1.456 0.010 1.446 0.010 -0.010 0.006
2453208.45552 99.999 9.999 0.064 0.006 0.072 0.006 99.999 9.999 99.999 9.999 0.008 0.006
2453208.45716 99.999 9.999 0.018 0.006 0.024 0.006 99.999 9.999 99.999 9.999 0.006 0.006
2453208.45881 -1.491 0.010 99.999 9.999 0.010 0.006 99.999 9.999 1.501 0.010 99.999 9.999
2453208.46046 -1.513 0.010 -0.031 0.006 -0.030 0.006 1.482 0.010 1.483 0.010 0.001 0.006
2453208.46211 -1.533 0.010 -0.064 0.006 -0.060 0.006 1.469 0.010 1.473 0.010 0.004 0.006
2453208.46375 -1.592 0.010 99.999 9.999 -0.115 0.006 99.999 9.999 1.477 0.010 99.999 9.999
2453208.46539 99.999 9.999 -0.115 0.005 -0.109 0.005 99.999 9.999 99.999 9.999 0.006 0.006
2453208.46705 99.999 9.999 -0.149 0.005 -0.145 0.005 99.999 9.999 99.999 9.999 0.004 0.006
2453208.46869 -1.649 0.009 -0.180 0.005 -0.213 0.005 1.469 0.010 1.436 0.010 -0.033 0.006
2453208.47034 -1.696 0.009 99.999 9.999 -0.204 0.005 99.999 9.999 1.492 0.010 99.999 9.999
2453208.47198 -1.708 0.009 -0.265 0.005 -0.258 0.005 1.443 0.009 1.450 0.009 0.007 0.006


2453208.47528 -1.748 0.009 -0.287 0.005 -0.297 0.005 1.461 0.009 1.451 0.009 -0.010 0.006
2453208.47692 -1.777 0.009 99.999 9.999 -0.312 0.005 99.999 9.999 1.465 0.009 99.999 9.999


2453208.48022 -1.809 0.009 -0.313 0.005 -0.318 0.005 1.496 0.010 1.491 0.010 -0.005 0.006
2453208.48186 99.999 9.999 -0.328 0.005 -0.328 0.005 99.999 9.999 99.999 9.999 0.000 0.006
2453208.48351 -1.833 0.009 -0.371 0.005 -0.373 0.005 1.462 0.010 1.460 0.010 -0.002 0.006


2453208.48681 99.999 9.999 -0.384 0.005 -0.371 0.005 99.999 9.999 99.999 9.999 0.013 0.006


2453208.49009 -1.885 0.009 -0.391 0.005 99.999 9.999 1.494 0.010 99.999 9.999 99.999 9.999
2453208.49174 -1.891 0.009 -0.416 0.005 -0.434 0.005 1.475 0.009 1.457 0.009 -0.018 0.006
2453208.49339 -1.901 0.009 -0.438 0.005 -0.442 0.005 1.463 0.010 1.459 0.010 -0.004 0.006
2453208.49503 99.999 9.999 -0.459 0.005 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453208.49668 -1.930 0.009 -0.454 0.005 -0.452 0.005 1.476 0.010 1.478 0.010 0.002 0.006




2453208.50162 -1.923 0.009 -0.455 0.005 -0.476 0.005 1.468 0.009 1.447 0.009 -0.021 0.006
2453208.50326 99.999 9.999 -0.461 0.005 -0.452 0.005 99.999 9.999 99.999 9.999 0.009 0.006
2453208.50491 -1.856 0.009 -0.368 0.005 -0.375 0.005 1.488 0.009 1.481 0.009 -0.007 0.006
2453208.50656 -1.947 0.009 -0.494 0.005 -0.502 0.005 1.453 0.010 1.445 0.010 -0.008 0.006
2453208.50821 -1.958 0.009 -0.491 0.005 -0.481 0.005 1.467 0.010 1.477 0.010 0.010 0.006
2453208.50985 99.999 9.999 -0.506 0.005 -0.502 0.005 99.999 9.999 99.999 9.999 0.004 0.006
2453208.51149 99.999 9.999 -0.498 0.005 -0.490 0.005 99.999 9.999 99.999 9.999 0.008 0.006
2453208.51315 -1.974 0.009 -0.509 0.005 -0.524 0.005 1.465 0.010 1.450 0.010 -0.015 0.006
2453208.51479 -1.897 0.009 -0.423 0.005 -0.419 0.005 1.474 0.010 1.478 0.010 0.004 0.006
2453208.51644 -1.972 0.009 -0.488 0.005 -0.501 0.005 1.484 0.010 1.471 0.010 -0.013 0.006
2453208.51808 -1.966 0.009 -0.504 0.005 -0.501 0.005 1.462 0.010 1.465 0.010 0.003 0.006
2453208.51973 -1.936 0.009 99.999 9.999 -0.433 0.005 99.999 9.999 1.503 0.010 99.999 9.999
2453208.52138 -1.980 0.009 -0.501 0.005 -0.518 0.005 1.479 0.010 1.462 0.010 -0.017 0.006
2453208.52302 -1.976 0.009 -0.504 0.005 -0.513 0.005 1.472 0.010 1.463 0.010 -0.009 0.006
2453208.52466 99.999 9.999 -0.514 0.005 -0.509 0.005 99.999 9.999 99.999 9.999 0.005 0.006
2453208.52632 -1.857 0.009 99.999 9.999 -0.366 0.005 99.999 9.999 1.491 0.010 99.999 9.999
2453208.52796 99.999 9.999 -0.391 0.005 -0.389 0.005 99.999 9.999 99.999 9.999 0.002 0.006
2453208.52961 99.999 9.999 -0.473 0.005 -0.479 0.005 99.999 9.999 99.999 9.999 -0.006 0.006
2453208.53125 -1.943 0.009 -0.492 0.005 -0.496 0.005 1.451 0.009 1.447 0.009 -0.004 0.006
2453208.53291 99.999 9.999 -0.454 0.005 -0.457 0.005 99.999 9.999 99.999 9.999 -0.003 0.006
2453208.53455 -1.869 0.009 -0.375 0.005 -0.390 0.005 1.494 0.009 1.479 0.009 -0.015 0.006
2453208.53619 -1.944 0.009 -0.491 0.005 -0.487 0.005 1.453 0.010 1.457 0.010 0.004 0.006


2453208.53949 -1.919 0.009 -0.447 0.005 -0.464 0.005 1.472 0.009 1.455 0.009 -0.017 0.006
2453208.54113 99.999 9.999 -0.470 0.005 -0.471 0.005 99.999 9.999 99.999 9.999 -0.001 0.006
2453208.54278 -1.911 0.009 -0.436 0.005 -0.447 0.005 1.475 0.009 1.464 0.009 -0.011 0.006






2453208.54936 99.999 9.999 -0.410 0.005 -0.419 0.005 99.999 9.999 99.999 9.999 -0.009 0.006
2453208.55102 -1.855 0.009 -0.386 0.005 -0.387 0.005 1.469 0.009 1.468 0.009 -0.001 0.006
2453208.55266 -1.858 0.009 -0.385 0.005 -0.389 0.005 1.473 0.010 1.469 0.010 -0.004 0.006
2453208.55431 -1.848 0.009 -0.372 0.005 -0.377 0.005 1.476 0.010 1.471 0.010 -0.005 0.006
2453208.55595 99.999 9.999 -0.362 0.005 -0.358 0.005 99.999 9.999 99.999 9.999 0.004 0.006


2453208.55925 -1.800 0.009 -0.318 0.005 -0.331 0.005 1.482 0.010 1.469 0.010 -0.013 0.006
2453208.56089 -1.763 0.009 -0.288 0.005 -0.287 0.005 1.475 0.010 1.476 0.010 0.001 0.006
2453208.56253 -1.728 0.009 -0.263 0.005 -0.267 0.005 1.465 0.010 1.461 0.010 -0.004 0.006
2453208.56419 99.999 9.999 -0.261 0.005 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453208.56583 -1.682 0.009 -0.222 0.005 -0.217 0.005 1.460 0.010 1.465 0.010 0.005 0.006


2453208.56912 -1.604 0.011 -0.133 0.006 -0.140 0.006 1.471 0.011 1.464 0.011 -0.007 0.006
2453208.57078 99.999 9.999 -0.117 0.006 -0.116 0.006 99.999 9.999 99.999 9.999 0.001 0.006
2453208.57242 99.999 9.999 -0.050 0.006 -0.047 0.006 99.999 9.999 99.999 9.999 0.003 0.006
2453208.57406 -1.493 0.011 -0.036 0.006 -0.041 0.006 1.457 0.011 1.452 0.011 -0.005 0.006




2453208.57900 -1.401 0.013 0.074 0.006 99.999 9.999 1.475 0.013 99.999 9.999 99.999 9.999
2453208.58065 -1.390 0.014 0.080 0.006 0.090 0.006 1.470 0.014 1.480 0.014 0.010 0.006
