JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V
2453255.31749 -0.218 0.006 0.008 0.006 0.181 0.006 0.226 0.006 0.399 0.006 0.173 0.006
2453255.31788 99.999 9.999 -0.074 0.006 0.126 0.006 99.999 9.999 99.999 9.999 0.200 0.006
2453255.31830 -0.171 0.006 -0.036 0.006 0.162 0.006 0.135 0.007 0.333 0.006 0.198 0.006
2453255.31870 -0.229 0.006 -0.009 0.006 0.202 0.006 0.220 0.006 0.431 0.006 0.211 0.006
2453255.31912 -0.245 0.006 0.007 0.006 0.173 0.006 0.252 0.006 0.418 0.006 0.166 0.006
2453255.31950 -0.209 0.006 0.029 0.006 0.195 0.006 0.238 0.006 0.404 0.006 0.166 0.006
2453255.31987 -0.236 0.006 0.024 0.006 0.205 0.006 0.260 0.006 0.441 0.006 0.181 0.006
2453255.32025 -0.222 0.006 -0.067 0.006 0.124 0.006 0.155 0.007 0.346 0.006 0.191 0.006
2453255.32067 -0.213 0.006 -0.016 0.006 0.186 0.006 0.197 0.006 0.399 0.006 0.202 0.006
2453255.32106 -0.217 0.006 -0.093 0.006 0.141 0.006 0.124 0.007 0.358 0.006 0.234 0.006
2453255.32146 -0.187 0.006 0.021 0.006 0.230 0.006 0.208 0.006 0.417 0.006 0.209 0.006
2453255.32186 -0.254 0.006 -0.007 0.006 0.154 0.006 0.247 0.006 0.408 0.006 0.161 0.006
2453255.32229 -0.201 0.006 0.039 0.006 0.202 0.006 0.240 0.006 0.403 0.006 0.163 0.006
2453255.32271 -0.216 0.006 -0.032 0.006 0.170 0.006 0.184 0.006 0.386 0.006 0.202 0.006
2453255.32309 -0.198 0.006 -0.055 0.006 0.181 0.006 0.143 0.007 0.379 0.006 0.236 0.006
2453255.32347 -0.254 0.006 -0.087 0.006 0.085 0.006 0.167 0.006 0.339 0.006 0.172 0.006
2453255.32389 -0.263 0.006 -0.053 0.006 0.095 0.006 0.210 0.006 0.358 0.006 0.148 0.006
2453255.32431 -0.207 0.006 -0.017 0.006 0.174 0.006 0.190 0.006 0.381 0.006 0.191 0.006
2453255.32470 -0.238 0.006 -0.075 0.006 0.108 0.006 0.163 0.007 0.346 0.006 0.183 0.006
2453255.32512 99.999 9.999 -0.073 0.006 0.129 0.006 99.999 9.999 99.999 9.999 0.202 0.006
2453255.32553 -0.228 0.006 -0.041 0.006 0.175 0.006 0.187 0.007 0.403 0.006 0.216 0.006
2453255.32594 -0.271 0.006 -0.046 0.006 0.104 0.006 0.225 0.006 0.375 0.006 0.150 0.006
2453255.32632 -0.210 0.006 0.029 0.006 0.195 0.006 0.239 0.006 0.405 0.006 0.166 0.006
2453255.32675 -0.234 0.006 -0.028 0.006 0.153 0.006 0.206 0.006 0.387 0.006 0.181 0.006


2453255.32756 -0.209 0.006 -0.044 0.006 0.172 0.006 0.165 0.007 0.381 0.006 0.216 0.006
2453255.32797 -0.230 0.006 -0.083 0.006 0.109 0.006 0.147 0.006 0.339 0.006 0.192 0.006
2453255.32838 -0.228 0.006 0.005 0.006 0.184 0.006 0.233 0.006 0.412 0.006 0.179 0.006
2453255.32876 -0.224 0.006 0.005 0.006 0.192 0.006 0.229 0.006 0.416 0.006 0.187 0.006
2453255.32918 -0.234 0.006 -0.019 0.006 0.176 0.006 0.215 0.006 0.410 0.006 0.195 0.006
2453255.32957 -0.223 0.006 -0.054 0.006 0.153 0.006 0.169 0.006 0.376 0.006 0.207 0.006
2453255.33000 -0.255 0.006 -0.041 0.006 0.111 0.006 0.214 0.006 0.366 0.006 0.152 0.006
2453255.33041 -0.238 0.006 -0.013 0.006 0.175 0.006 0.225 0.006 0.413 0.006 0.188 0.006
2453255.33081 -0.241 0.006 -0.089 0.006 0.096 0.006 0.152 0.007 0.337 0.006 0.185 0.006
2453255.33123 -0.245 0.006 -0.019 0.006 0.155 0.006 0.226 0.006 0.400 0.006 0.174 0.006
2453255.33162 -0.246 0.006 -0.056 0.006 0.154 0.006 0.190 0.006 0.400 0.006 0.210 0.006
2453255.33201 -0.220 0.006 -0.001 0.006 0.192 0.006 0.219 0.006 0.412 0.006 0.193 0.006
2453255.33243 -0.225 0.006 -0.015 0.006 0.185 0.006 0.210 0.006 0.410 0.006 0.200 0.006
2453255.33284 -0.259 0.006 -0.074 0.006 0.103 0.006 0.185 0.006 0.362 0.006 0.177 0.006
2453255.33325 -0.254 0.006 -0.026 0.006 0.155 0.006 0.228 0.006 0.409 0.006 0.181 0.006
2453255.33368 -0.268 0.006 -0.068 0.006 0.072 0.006 0.200 0.006 0.340 0.006 0.140 0.006
2453255.33410 -0.260 0.006 0.000 0.006 0.136 0.006 0.260 0.006 0.396 0.006 0.136 0.006
2453255.33449 -0.235 0.006 -0.074 0.006 0.114 0.006 0.161 0.006 0.349 0.006 0.188 0.006
2453255.33491 -0.270 0.006 -0.040 0.006 0.099 0.006 0.230 0.006 0.369 0.006 0.139 0.006
2453255.33532 99.999 9.999 -0.069 0.006 0.137 0.006 99.999 9.999 99.999 9.999 0.206 0.006
2453255.33574 -0.220 0.006 -0.007 0.006 0.176 0.006 0.213 0.006 0.396 0.006 0.183 0.006
2453255.33616 -0.247 0.006 -0.006 0.006 0.168 0.006 0.241 0.006 0.415 0.006 0.174 0.006
2453255.33655 -0.239 0.006 -0.005 0.006 0.185 0.006 0.234 0.006 0.424 0.006 0.190 0.006
2453255.33697 -0.251 0.006 0.001 0.006 0.156 0.006 0.252 0.006 0.407 0.006 0.155 0.006
2453255.33735 -0.209 0.006 -0.047 0.006 0.173 0.006 0.162 0.007 0.382 0.006 0.220 0.006
2453255.33774 -0.230 0.006 -0.059 0.006 0.146 0.006 0.171 0.007 0.376 0.006 0.205 0.006
2453255.33814 -0.234 0.006 -0.045 0.006 0.117 0.006 0.189 0.006 0.351 0.006 0.162 0.006
2453255.33852 99.999 9.999 -0.037 0.006 0.109 0.006 99.999 9.999 99.999 9.999 0.146 0.006
2453255.33890 -0.228 0.006 -0.069 0.006 0.122 0.006 0.159 0.006 0.350 0.006 0.191 0.006
2453255.33928 -0.205 0.006 -0.030 0.006 0.198 0.006 0.175 0.007 0.403 0.006 0.228 0.006
2453255.33965 -0.233 0.006 -0.043 0.006 0.157 0.006 0.190 0.007 0.390 0.006 0.200 0.006
2453255.34005 -0.240 0.006 -0.057 0.006 0.101 0.006 0.183 0.006 0.341 0.006 0.158 0.006
2453255.34046 -0.233 0.006 -0.062 0.006 0.112 0.006 0.171 0.006 0.345 0.006 0.174 0.006
2453255.34088 -0.253 0.006 -0.066 0.006 99.999 9.999 0.187 0.006 99.999 9.999 99.999 9.999
2453255.34130 99.999 9.999 -0.077 0.006 0.075 0.006 99.999 9.999 99.999 9.999 0.152 0.006
2453255.34169 -0.245 0.006 0.019 0.006 0.166 0.006 0.264 0.006 0.411 0.006 0.147 0.006
2453255.34211 -0.221 0.006 -0.038 0.006 0.178 0.006 0.183 0.006 0.399 0.006 0.216 0.006
2453255.34253 -0.238 0.006 0.007 0.006 0.179 0.006 0.245 0.006 0.417 0.006 0.172 0.006
2453255.34292 -0.275 0.006 -0.022 0.006 0.134 0.006 0.253 0.006 0.409 0.006 0.156 0.006
2453255.34330 -0.231 0.006 -0.066 0.006 0.108 0.006 0.165 0.006 0.339 0.006 0.174 0.006
2453255.34369 -0.263 0.006 -0.062 0.006 0.087 0.006 0.201 0.006 0.350 0.006 0.149 0.006
2453255.34411 -0.206 0.006 0.018 0.006 0.195 0.006 0.224 0.006 0.401 0.006 0.177 0.006
2453255.34448 99.999 9.999 -0.085 0.006 0.088 0.006 99.999 9.999 99.999 9.999 0.173 0.006
2453255.34488 -0.214 0.006 -0.031 0.006 0.181 0.006 0.183 0.006 0.395 0.006 0.212 0.006
2453255.34530 -0.242 0.006 -0.066 0.006 0.143 0.006 0.176 0.007 0.385 0.006 0.209 0.006
2453255.34572 -0.268 0.006 -0.006 0.006 0.143 0.006 0.262 0.006 0.411 0.006 0.149 0.006
2453255.34613 99.999 9.999 -0.028 0.006 0.108 0.006 99.999 9.999 99.999 9.999 0.136 0.006
2453255.34655 -0.237 0.006 -0.035 0.006 0.106 0.006 0.202 0.006 0.343 0.006 0.141 0.006
2453255.34696 -0.256 0.006 -0.014 0.006 0.165 0.006 0.242 0.006 0.421 0.006 0.179 0.006
2453255.34737 -0.256 0.006 -0.032 0.006 0.126 0.006 0.224 0.006 0.382 0.006 0.158 0.006
2453255.34779 -0.232 0.006 0.007 0.006 0.192 0.006 0.239 0.006 0.424 0.006 0.185 0.006
2453255.34817 -0.246 0.006 0.010 0.006 0.169 0.006 0.256 0.006 0.415 0.006 0.159 0.006
2453255.34856 -0.213 0.006 -0.077 0.006 0.152 0.006 0.136 0.007 0.365 0.006 0.229 0.006
2453255.34898 -0.254 0.006 -0.074 0.006 0.096 0.006 0.180 0.006 0.350 0.006 0.170 0.006
2453255.34942 -0.245 0.006 -0.059 0.006 0.102 0.006 0.186 0.007 0.347 0.006 0.161 0.006
2453255.34980 -0.238 0.006 -0.013 0.006 0.190 0.006 0.225 0.006 0.428 0.006 0.203 0.006
2453255.35023 -0.238 0.006 -0.048 0.006 0.114 0.006 0.190 0.006 0.352 0.006 0.162 0.006
2453255.35064 -0.260 0.006 -0.029 0.006 0.139 0.006 0.231 0.006 0.399 0.006 0.168 0.006
