2453217.42454 1.383 0.0020  @ 8
2453218.45407 1.346 0.0021  @ 8
2453233.36458 -0.873 0.0005  @ 8
2453234.39785 -0.634 0.0006  @ 8
2453235.41928 -0.338 0.0008  @ 8
2453241.58856 -0.226 0.0006  @ 8
2453248.29141 -0.611 0.0011  @ 8
2453253.41797 -0.197 0.0006  @ 8
2453255.47689 -0.287 0.0008  @ 8
2453265.25903 0.308 0.0014  @ 8
2453266.27357 0.111 0.0008  @ 8
2453267.30241 0.263 0.0008  @ 8
2453282.22871 1.773 0.0030  @ 8
2453283.25463 1.784 0.0031  @ 8
2453284.26967 1.824 0.0021  @ 8
2453285.29902 1.769 0.0017  @ 8
