2453210.43193 1.194 0.0011  @ 2
2453228.42801 0.255 0.0007  @ 2
2453232.54183 -0.955 0.0005  @ 2
2453233.56722 -0.825 0.0008  @ 2
2453234.57840 -0.641 0.0013  @ 2
2453246.42499 -0.411 0.0008  @ 2
2453247.43086 -0.605 0.0020  @ 2
2453259.28361 -0.621 0.0008  @ 2
2453260.30279 -0.113 0.0015  @ 2
2453263.39516 0.458 0.0010  @ 2
2453265.44770 0.162 0.0007  @ 2
2453266.47186 0.069 0.0008  @ 2
2453267.48518 0.122 0.0019  @ 2
2453279.33230 1.510 0.0017  @ 2
2453280.36330 1.485 0.0016  @ 2
2453282.40385 1.576 0.0029  @ 2
2453283.43424 1.577 0.0028  @ 2
2453314.22521 0.775 0.0127  @ 2
