2453218.31741 1.314 0.0038  @ 5
2453218.35021 1.256 0.0017  @ 6
2453218.39940 1.202 0.0018  @ 7
2453218.45407 1.346 0.0021  @ 8
2453218.50207 1.631 0.0027  @ 9
2453218.55825 1.680 0.0051  @ 0
2453218.58919 1.435 0.0062  @ 1
