2453234.39785 -0.634 0.0006  @ 8
2453234.44425 -0.621 0.0005  @ 9
2453234.49570 -0.600 0.0006  @ 0
2453234.54711 -0.627 0.0006  @ 1
2453234.57840 -0.641 0.0013  @ 2
