2453246.28219 -0.177 0.0012  @ 9
2453246.32192 -0.185 0.0009  @ 0
2453246.37560 -0.332 0.0009  @ 1
2453246.42499 -0.411 0.0008  @ 2
2453246.47815 -0.429 0.0007  @ 3
2453246.52076 -0.369 0.0009  @ 4
