2453259.28361 -0.621 0.0008  @ 2
2453259.33122 -0.582 0.0006  @ 3
2453259.37857 -0.558 0.0007  @ 4
2453259.41673 -0.544 0.0012  @ 5
2453259.49121 -0.476 0.0010  @ 6
