2453235.37439 -0.343 0.0007  @ 7
2453235.41928 -0.338 0.0008  @ 8
2453235.47605 -0.289 0.0017  @ 9
2453235.52567 -0.304 0.0008  @ 0
2453235.56814 -0.349 0.0010  @ 1
