2453283.25463 1.784 0.0031  @ 8
2453283.29134 2.051 0.0032  @ 9
2453283.34614 2.206 0.0029  @ 10
2453283.37003 1.993 0.0220  @ 0
2453283.39693 1.764 0.0024  @ 1
2453283.43424 1.577 0.0028  @ 2
