2453217.37725 1.220 0.0020  @ 7
2453217.42454 1.383 0.0020  @ 8
2453217.47198 1.702 0.0045  @ 9
2453217.54290 1.632 0.0079  @ 0
2453217.57835 1.353 0.0024  @ 1
