JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V
2453314.17639 0.908 0.025 1.123 0.024 1.318 0.023 0.215 0.014 0.410 0.014 0.195 0.012
2453314.17676 0.906 0.023 1.084 0.023 1.304 0.022 0.178 0.013 0.398 0.013 0.220 0.012
2453314.17713 0.878 0.023 1.075 0.022 1.271 0.022 0.197 0.014 0.393 0.014 0.196 0.012
2453314.17751 0.861 0.023 1.062 0.023 1.260 0.022 0.201 0.013 0.399 0.013 0.198 0.012
2453314.17788 0.954 0.022 1.098 0.022 1.319 0.021 0.144 0.013 0.365 0.012 0.221 0.011
2453314.17825 0.920 0.022 1.112 0.022 1.311 0.021 0.192 0.013 0.391 0.012 0.199 0.011
2453314.17863 0.901 0.021 1.093 0.021 1.255 0.020 0.192 0.012 0.354 0.011 0.162 0.011
2453314.17900 0.849 0.021 1.039 0.021 1.246 0.020 0.190 0.013 0.397 0.012 0.207 0.011
2453314.17938 0.938 0.020 1.128 0.020 1.332 0.019 0.190 0.012 0.394 0.011 0.204 0.011
2453314.17975 0.927 0.020 1.103 0.020 1.287 0.019 0.176 0.012 0.360 0.011 0.184 0.011
2453314.18013 0.897 0.019 1.104 0.019 1.287 0.018 0.207 0.012 0.390 0.011 0.183 0.011
2453314.18050 0.954 0.019 1.118 0.019 1.293 0.018 0.164 0.012 0.339 0.011 0.175 0.011
2453314.18087 0.937 0.020 1.107 0.020 1.332 0.019 0.170 0.012 0.395 0.011 0.225 0.011
2453314.18125 0.943 0.019 1.155 0.018 1.303 0.018 0.212 0.011 0.360 0.011 0.148 0.010
2453314.18162 0.874 0.018 1.105 0.017 1.251 0.017 0.231 0.011 0.377 0.011 0.146 0.010
2453314.18199 0.902 0.018 1.081 0.017 1.305 0.017 0.179 0.011 0.403 0.010 0.224 0.009
2453314.18237 0.963 0.018 1.151 0.017 1.313 0.017 0.188 0.011 0.350 0.010 0.162 0.009


2453314.18311 0.951 0.018 1.153 0.017 1.355 0.017 0.202 0.011 0.404 0.010 0.202 0.009
2453314.18350 99.999 9.999 1.116 0.017 1.330 0.016 99.999 9.999 99.999 9.999 0.214 0.009
2453314.18387 0.910 0.017 1.123 0.017 1.308 0.016 0.213 0.011 0.398 0.010 0.185 0.009
2453314.18424 0.852 0.016 1.070 0.016 1.258 0.015 0.218 0.011 0.406 0.010 0.188 0.009
2453314.18462 99.999 9.999 1.075 0.016 1.291 0.015 99.999 9.999 99.999 9.999 0.216 0.009
2453314.18499 0.882 0.016 1.107 0.016 1.286 0.015 0.225 0.011 0.404 0.010 0.179 0.009
2453314.18536 0.913 0.016 1.137 0.016 1.293 0.015 0.224 0.011 0.380 0.010 0.156 0.009


2453314.18611 0.884 0.015 1.053 0.015 1.301 0.014 0.169 0.010 0.417 0.009 0.248 0.009




2453314.18723 0.946 0.015 1.109 0.014 1.326 0.014 0.163 0.009 0.380 0.009 0.217 0.008
2453314.18760 99.999 9.999 1.070 0.014 1.287 0.014 99.999 9.999 99.999 9.999 0.217 0.008
2453314.18797 0.910 0.015 1.078 0.014 99.999 9.999 0.168 0.009 99.999 9.999 99.999 9.999
2453314.18836 0.930 0.015 1.119 0.014 1.298 0.014 0.189 0.009 0.368 0.009 0.179 0.008
2453314.18873 0.976 0.015 99.999 9.999 1.322 0.014 99.999 9.999 0.346 0.009 99.999 9.999
2453314.18910 0.863 0.014 1.115 0.013 1.253 0.013 0.252 0.009 0.390 0.009 0.138 0.008
2453314.18948 99.999 9.999 1.051 0.013 1.272 0.013 99.999 9.999 99.999 9.999 0.221 0.008


2453314.19022 0.889 0.014 1.062 0.013 1.294 0.013 0.173 0.009 0.405 0.009 0.232 0.008
2453314.19060 99.999 9.999 99.999 9.999 1.324 0.013 99.999 9.999 99.999 9.999 99.999 9.999


2453314.19134 0.863 0.014 1.072 0.013 1.258 0.013 0.209 0.009 0.395 0.009 0.186 0.008
2453314.19171 99.999 9.999 99.999 9.999 1.340 0.013 99.999 9.999 99.999 9.999 99.999 9.999
2453314.19209 0.927 0.014 1.079 0.013 1.314 0.013 0.152 0.009 0.387 0.009 0.235 0.008
2453314.19247 0.935 0.014 1.169 0.013 1.301 0.013 0.234 0.009 0.366 0.009 0.132 0.008


2453314.19322 0.942 0.014 1.101 0.013 1.314 0.013 0.159 0.009 0.372 0.009 0.213 0.008
2453314.19359 0.915 0.014 1.142 0.013 1.302 0.013 0.227 0.009 0.387 0.009 0.160 0.008


2453314.19434 0.952 0.014 1.129 0.013 1.328 0.013 0.177 0.009 0.376 0.009 0.199 0.008
