2453282.22871 1.773 0.0030  @ 8
2453282.26460 2.040 0.0030  @ 9
2453282.31738 2.114 0.0034  @ 0
2453282.36941 1.692 0.0020  @ 1
2453282.40385 1.576 0.0029  @ 2
