2453210.38082 1.291 0.0012  @ 1
2453217.57835 1.353 0.0024  @ 1
2453218.58919 1.435 0.0062  @ 1
2453228.37684 0.358 0.0008  @ 1
2453230.42820 -0.168 0.0093  @ 1
2453231.45118 -0.513 0.0007  @ 1
2453232.49049 -0.915 0.0005  @ 1
2453233.51885 -0.818 0.0006  @ 1
2453234.54711 -0.627 0.0006  @ 1
2453235.56814 -0.349 0.0010  @ 1
2453246.37560 -0.332 0.0009  @ 1
2453247.40200 -0.572 0.0009  @ 1
2453260.27689 -0.130 0.0022  @ 1
2453263.34424 0.547 0.0014  @ 1
2453265.39868 0.228 0.0007  @ 1
2453266.42737 0.137 0.0007  @ 1
2453267.45576 0.180 0.0007  @ 1
2453279.28275 1.724 0.0018  @ 1
2453280.31088 1.713 0.0019  @ 1
2453282.36941 1.692 0.0020  @ 1
2453283.34614 2.206 0.0029  @ 10
2453283.39693 1.764 0.0024  @ 1
2453284.42197 1.790 0.0022  @ 1
