2453280.27475 2.028 0.0051  @ 0
2453280.31088 1.713 0.0019  @ 1
2453280.36330 1.485 0.0016  @ 2
2453280.41504 1.466 0.0014  @ 3
2453280.44660 1.533 0.0029  @ 4
