2453279.24802 2.018 0.0035  @ 0
2453279.28275 1.724 0.0018  @ 1
2453279.33230 1.510 0.0017  @ 2
2453279.38696 1.524 0.0019  @ 3
2453279.42332 1.533 0.0023  @ 4
