2453217.54290 1.632 0.0079  @ 0
2453218.55825 1.680 0.0051  @ 0
2453228.33505 0.533 0.0009  @ 0
2453230.38300 -0.140 0.0012  @ 0
2453231.41520 -0.431 0.0005  @ 0
2453232.43944 -0.829 0.0005  @ 0
2453233.46724 -0.761 0.0005  @ 0
2453234.49570 -0.600 0.0006  @ 0
2453235.52567 -0.304 0.0008  @ 0
2453246.32192 -0.185 0.0009  @ 0
2453247.35158 -0.490 0.0008  @ 0
2453253.51932 -0.127 0.0008  @ 0
2453263.29009 0.797 0.0010  @ 0
2453265.34740 0.423 0.0007  @ 0
2453266.37737 0.270 0.0007  @ 0
2453267.40427 0.365 0.0007  @ 0
2453279.24802 2.018 0.0035  @ 0
2453280.27475 2.028 0.0051  @ 0
2453282.31738 2.114 0.0034  @ 0
2453283.37003 1.993 0.0220  @ 0
2453284.37550 2.231 0.0031  @ 0
2453285.40357 2.103 0.0024  @ 0
2453314.19865 0.888 0.0017  @ 0
