2453265.25903 0.308 0.0014  @ 8
2453265.29835 0.417 0.0008  @ 9
2453265.34740 0.423 0.0007  @ 0
2453265.39868 0.228 0.0007  @ 1
2453265.44770 0.162 0.0007  @ 2
