2453217.47198 1.702 0.0045  @ 9
2453218.50207 1.631 0.0027  @ 9
2453230.33818 -0.161 0.0008  @ 9
2453232.39639 -0.799 0.0012  @ 9
2453233.41593 -0.798 0.0005  @ 9
2453234.44425 -0.621 0.0005  @ 9
2453235.47605 -0.289 0.0017  @ 9
2453246.28219 -0.177 0.0012  @ 9
2453247.29912 -0.505 0.0010  @ 9
2453248.32306 -0.555 0.0039  @ 9
2453253.46974 -0.125 0.0007  @ 9
2453255.51603 -0.252 0.0009  @ 9
2453263.26275 0.888 0.0039  @ 9
2453265.29835 0.417 0.0008  @ 9
2453266.32778 0.253 0.0010  @ 9
2453267.35365 0.344 0.0008  @ 9
2453282.26460 2.040 0.0030  @ 9
2453283.29134 2.051 0.0032  @ 9
2453284.31968 2.084 0.0025  @ 9
2453285.34912 1.970 0.0020  @ 9
