2453233.32669 -0.897 0.0007  @ 7
2453233.36458 -0.873 0.0005  @ 8
2453233.41593 -0.798 0.0005  @ 9
2453233.46724 -0.761 0.0005  @ 0
2453233.51885 -0.818 0.0006  @ 1
2453233.56722 -0.825 0.0008  @ 2
