2453267.26054 0.228 0.0010  @ 7
2453267.30241 0.263 0.0008  @ 8
2453267.35365 0.344 0.0008  @ 9
2453267.40427 0.365 0.0007  @ 0
2453267.45576 0.180 0.0007  @ 1
2453267.48518 0.122 0.0019  @ 2
