2453210.38082 1.291 0.0012  @ 1
2453210.43193 1.194 0.0011  @ 2
2453210.48293 1.248 0.0011  @ 3
2453210.53519 1.347 0.0014  @ 4
2453210.56539 1.383 0.0033  @ 5
