JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 9.00
2453231.40018 -0.398 0.005 -0.246 0.005 -0.051 0.005 0.152 0.006 0.347 0.006 0.195 0.006
2453231.40056 -0.405 0.005 -0.239 0.005 -0.055 0.005 0.166 0.006 0.350 0.006 0.184 0.006
2453231.40093 -0.398 0.006 -0.237 0.006 -0.051 0.006 0.161 0.006 0.347 0.006 0.186 0.006
2453231.40131 -0.403 0.005 -0.250 0.005 -0.044 0.005 0.153 0.006 0.359 0.006 0.206 0.006
2453231.40168 -0.380 0.005 -0.247 0.005 -0.057 0.005 0.133 0.006 0.323 0.006 0.190 0.006
2453231.40205 -0.398 0.005 -0.238 0.005 -0.056 0.005 0.160 0.006 0.342 0.006 0.182 0.006
2453231.40242 -0.403 0.006 -0.261 0.006 -0.054 0.006 0.142 0.006 0.349 0.006 0.207 0.006
2453231.40281 -0.400 0.006 -0.253 0.006 -0.049 0.006 0.147 0.006 0.351 0.006 0.204 0.006
2453231.40318 -0.418 0.005 -0.264 0.005 -0.072 0.005 0.154 0.006 0.346 0.006 0.192 0.006
2453231.40355 -0.395 0.006 -0.257 0.006 -0.046 0.006 0.138 0.006 0.349 0.006 0.211 0.006
2453231.40392 -0.407 0.006 -0.265 0.006 -0.066 0.006 0.142 0.006 0.341 0.006 0.199 0.006
2453231.40430 -0.394 0.006 -0.247 0.006 -0.048 0.006 0.147 0.006 0.346 0.006 0.199 0.006
2453231.40467 -0.400 0.005 -0.256 0.005 -0.055 0.005 0.144 0.006 0.345 0.006 0.201 0.006
2453231.40504 -0.394 0.006 -0.248 0.006 -0.059 0.006 0.146 0.006 0.335 0.006 0.189 0.006
2453231.40542 -0.402 0.005 -0.256 0.005 -0.057 0.005 0.146 0.006 0.345 0.006 0.199 0.006
2453231.40579 -0.409 0.006 -0.251 0.006 -0.062 0.006 0.158 0.006 0.347 0.006 0.189 0.006
2453231.40616 -0.405 0.005 -0.258 0.005 -0.050 0.005 0.147 0.006 0.355 0.006 0.208 0.006
2453231.40653 -0.412 0.005 -0.269 0.005 -0.055 0.005 0.143 0.006 0.357 0.006 0.214 0.006
2453231.40692 -0.400 0.006 -0.250 0.006 -0.048 0.006 0.150 0.006 0.352 0.006 0.202 0.006
2453231.40729 -0.410 0.006 -0.248 0.006 -0.065 0.006 0.162 0.006 0.345 0.006 0.183 0.006
2453231.40766 -0.405 0.006 -0.270 0.006 -0.068 0.006 0.135 0.006 0.337 0.006 0.202 0.006
2453231.40804 -0.413 0.005 -0.258 0.005 -0.068 0.005 0.155 0.006 0.345 0.006 0.190 0.006
2453231.40841 -0.413 0.005 -0.259 0.005 -0.058 0.005 0.154 0.006 0.355 0.006 0.201 0.006
2453231.40878 -0.424 0.005 -0.270 0.005 -0.084 0.005 0.154 0.006 0.340 0.006 0.186 0.006
2453231.40916 -0.395 0.005 -0.255 0.005 -0.052 0.005 0.140 0.006 0.343 0.006 0.203 0.006
2453231.40953 -0.418 0.005 -0.255 0.005 -0.077 0.005 0.163 0.006 0.341 0.006 0.178 0.006
2453231.40990 -0.415 0.005 -0.266 0.005 -0.079 0.005 0.149 0.006 0.336 0.006 0.187 0.006
2453231.41027 -0.408 0.005 -0.263 0.005 -0.067 0.005 0.145 0.006 0.341 0.006 0.196 0.006
2453231.41065 -0.434 0.005 -0.285 0.005 -0.079 0.005 0.149 0.006 0.355 0.006 0.206 0.006
2453231.41102 -0.421 0.005 -0.260 0.005 -0.060 0.005 0.161 0.006 0.361 0.006 0.200 0.006
2453231.41139 -0.394 0.005 -0.259 0.005 -0.063 0.005 0.135 0.006 0.331 0.006 0.196 0.006
2453231.41177 -0.410 0.005 -0.275 0.005 -0.099 0.005 0.135 0.006 0.311 0.006 0.176 0.006
2453231.41215 -0.420 0.005 -0.280 0.005 -0.079 0.005 0.140 0.006 0.341 0.006 0.201 0.006
2453231.41252 -0.404 0.005 -0.255 0.005 -0.067 0.005 0.149 0.006 0.337 0.006 0.188 0.006
2453231.41289 -0.404 0.005 -0.260 0.005 -0.057 0.005 0.144 0.006 0.347 0.006 0.203 0.006
2453231.41327 -0.406 0.005 -0.258 0.005 -0.060 0.005 0.148 0.006 0.346 0.006 0.198 0.006
2453231.41364 -0.417 0.005 -0.280 0.005 -0.073 0.005 0.137 0.006 0.344 0.006 0.207 0.006
2453231.41401 -0.428 0.005 -0.264 0.005 -0.055 0.005 0.164 0.006 0.373 0.006 0.209 0.006
2453231.41438 -0.434 0.005 -0.285 0.005 -0.103 0.005 0.149 0.006 0.331 0.006 0.182 0.006
2453231.41476 -0.406 0.005 -0.276 0.005 -0.062 0.005 0.130 0.006 0.344 0.006 0.214 0.006
2453231.41513 -0.428 0.005 -0.268 0.005 -0.096 0.005 0.160 0.006 0.332 0.006 0.172 0.006
2453231.41550 -0.421 0.005 -0.275 0.005 -0.078 0.005 0.146 0.006 0.343 0.006 0.197 0.006
2453231.41587 -0.424 0.005 -0.265 0.005 -0.076 0.005 0.159 0.006 0.348 0.006 0.189 0.006
2453231.41626 -0.424 0.005 -0.269 0.005 -0.073 0.005 0.155 0.006 0.351 0.006 0.196 0.006
