2453232.39639 -0.799 0.0012  @ 9
2453232.43944 -0.829 0.0005  @ 0
2453232.49049 -0.915 0.0005  @ 1
2453232.54183 -0.955 0.0005  @ 2
2453232.57974 -0.945 0.0007  @ 3
