JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V
2453284.21782 1.545 0.023 1.758 0.023 1.942 0.023 0.213 0.009 0.397 0.009 0.184 0.008
2453284.21819 1.562 0.021 1.748 0.021 1.955 0.021 0.186 0.008 0.393 0.008 0.207 0.008
2453284.21858 1.621 0.021 1.812 0.021 2.006 0.021 0.191 0.008 0.385 0.008 0.194 0.008
2453284.21895 1.558 0.021 1.774 0.021 1.943 0.021 0.216 0.008 0.385 0.008 0.169 0.008
2453284.21932 1.579 0.021 1.765 0.021 1.956 0.021 0.186 0.008 0.377 0.008 0.191 0.008
2453284.21970 1.565 0.020 1.766 0.020 1.951 0.020 0.201 0.008 0.386 0.008 0.185 0.007
2453284.22007 1.575 0.020 1.770 0.020 1.962 0.020 0.195 0.008 0.387 0.008 0.192 0.007
2453284.22044 1.556 0.019 1.742 0.019 1.941 0.019 0.186 0.008 0.385 0.008 0.199 0.007
2453284.22082 1.579 0.019 1.759 0.019 1.961 0.019 0.180 0.008 0.382 0.008 0.202 0.007
2453284.22119 1.551 0.019 1.772 0.019 1.949 0.019 0.221 0.008 0.398 0.008 0.177 0.007
2453284.22157 1.535 0.018 1.746 0.018 1.932 0.018 0.211 0.008 0.397 0.008 0.186 0.007


2453284.22231 1.541 0.018 1.742 0.018 99.999 9.999 0.201 0.008 99.999 9.999 99.999 9.999
2453284.22270 1.562 0.018 1.751 0.018 1.949 0.018 0.189 0.008 0.387 0.008 0.198 0.007


2453284.22344 1.624 0.018 1.828 0.018 2.001 0.018 0.204 0.008 0.377 0.008 0.173 0.007
2453284.22382 1.576 0.017 1.784 0.017 1.956 0.017 0.208 0.008 0.380 0.008 0.172 0.007


2453284.22457 1.530 0.017 1.754 0.017 1.942 0.017 0.224 0.008 0.412 0.008 0.188 0.007
2453284.22494 99.999 9.999 1.788 0.017 1.984 0.017 99.999 9.999 99.999 9.999 0.196 0.007
2453284.22531 1.608 0.017 1.800 0.017 1.980 0.017 0.192 0.008 0.372 0.008 0.180 0.007
2453284.22569 1.603 0.017 1.787 0.017 1.978 0.016 0.184 0.008 0.375 0.007 0.191 0.006


2453284.22644 1.556 0.016 1.736 0.016 99.999 9.999 0.180 0.008 99.999 9.999 99.999 9.999
2453284.22682 1.560 0.016 1.767 0.016 1.942 0.016 0.207 0.008 0.382 0.007 0.175 0.006
2453284.22719 1.605 0.016 1.781 0.016 1.970 0.016 0.176 0.007 0.365 0.006 0.189 0.006
2453284.22756 1.498 0.016 1.719 0.016 1.921 0.016 0.221 0.008 0.423 0.007 0.202 0.006


2453284.22831 1.597 0.016 1.759 0.016 1.993 0.016 0.162 0.007 0.396 0.006 0.234 0.006
2453284.22868 1.546 0.016 1.774 0.016 1.943 0.016 0.228 0.008 0.397 0.008 0.169 0.007


2453284.22943 1.573 0.016 1.746 0.016 99.999 9.999 0.173 0.007 99.999 9.999 99.999 9.999
2453284.22980 1.512 0.015 1.710 0.015 1.905 0.015 0.198 0.008 0.393 0.008 0.195 0.007


2453284.23056 1.504 0.015 1.730 0.015 1.903 0.015 0.226 0.008 0.399 0.008 0.173 0.007
2453284.23093 1.601 0.015 1.795 0.015 1.971 0.015 0.194 0.008 0.370 0.007 0.176 0.006


2453284.23168 1.593 0.016 1.828 0.016 1.970 0.016 0.235 0.008 0.377 0.008 0.142 0.007
2453284.23205 1.598 0.016 99.999 9.999 1.983 0.016 99.999 9.999 0.385 0.006 99.999 9.999
2453284.23243 1.568 0.016 1.766 0.016 1.963 0.016 0.198 0.007 0.395 0.006 0.197 0.006
2453284.23280 1.524 0.015 1.760 0.015 1.901 0.015 0.236 0.008 0.377 0.008 0.141 0.007


2453284.23355 1.587 0.016 1.819 0.016 1.978 0.016 0.232 0.007 0.391 0.006 0.159 0.006
2453284.23392 1.546 0.015 1.718 0.015 1.946 0.015 0.172 0.007 0.400 0.006 0.228 0.006




2453284.23505 99.999 9.999 1.766 0.016 1.993 0.016 99.999 9.999 99.999 9.999 0.227 0.006




2453284.23617 99.999 9.999 1.759 0.015 1.965 0.015 99.999 9.999 99.999 9.999 0.206 0.006


2453284.23692 1.528 0.015 1.730 0.015 1.927 0.015 0.202 0.008 0.399 0.007 0.197 0.006
2453284.23729 1.601 0.015 99.999 9.999 1.974 0.015 99.999 9.999 0.373 0.006 99.999 9.999


2453284.23804 1.585 0.015 1.777 0.015 1.969 0.015 0.192 0.007 0.384 0.006 0.192 0.006




2453284.23917 1.521 0.015 1.730 0.015 1.932 0.015 0.209 0.008 0.411 0.007 0.202 0.006


2453284.23992 1.594 0.016 1.823 0.016 1.972 0.016 0.229 0.008 0.378 0.008 0.149 0.007
2453284.24029 1.647 0.016 99.999 9.999 2.025 0.016 99.999 9.999 0.378 0.006 99.999 9.999


2453284.24104 1.508 0.015 1.796 0.015 1.917 0.015 0.288 0.008 0.409 0.007 0.121 0.006
2453284.24141 99.999 9.999 99.999 9.999 2.023 0.016 99.999 9.999 99.999 9.999 99.999 9.999
2453284.24178 1.624 0.015 1.800 0.015 2.020 0.015 0.176 0.007 0.396 0.006 0.220 0.006
2453284.24216 1.632 0.015 1.848 0.015 1.997 0.015 0.216 0.007 0.365 0.006 0.149 0.006




2453284.24329 1.624 0.016 1.856 0.016 1.990 0.016 0.232 0.008 0.366 0.007 0.134 0.006
2453284.24366 1.670 0.016 99.999 9.999 2.031 0.016 99.999 9.999 0.361 0.006 99.999 9.999
2453284.24404 1.620 0.016 1.850 0.016 2.005 0.016 0.230 0.007 0.385 0.006 0.155 0.006
2453284.24441 1.680 0.016 99.999 9.999 2.051 0.016 99.999 9.999 0.371 0.006 99.999 9.999


2453284.24516 1.686 0.016 1.852 0.016 2.095 0.016 0.166 0.007 0.409 0.006 0.243 0.006
2453284.24553 1.664 0.016 99.999 9.999 2.037 0.016 99.999 9.999 0.373 0.006 99.999 9.999


2453284.24628 1.636 0.016 1.835 0.016 2.035 0.016 0.199 0.007 0.399 0.006 0.200 0.006
2453284.24666 1.665 0.016 99.999 9.999 2.023 0.016 99.999 9.999 0.358 0.006 99.999 9.999
2453284.24703 1.673 0.016 1.843 0.016 2.051 0.016 0.170 0.007 0.378 0.006 0.208 0.006
2453284.24741 1.719 0.017 99.999 9.999 2.111 0.016 99.999 9.999 0.392 0.006 99.999 9.999


2453284.24815 1.648 0.016 1.883 0.016 2.032 0.016 0.235 0.007 0.384 0.006 0.149 0.006
2453284.24853 99.999 9.999 1.832 0.016 2.054 0.016 99.999 9.999 99.999 9.999 0.222 0.006


2453284.24928 1.670 0.016 1.834 0.016 2.066 0.016 0.164 0.007 0.396 0.006 0.232 0.006
2453284.24965 99.999 9.999 1.859 0.016 2.069 0.016 99.999 9.999 99.999 9.999 0.210 0.006
2453284.25002 1.690 0.016 1.870 0.016 2.073 0.016 0.180 0.007 0.383 0.006 0.203 0.006
2453284.25041 1.673 0.017 1.868 0.017 2.085 0.016 0.195 0.007 0.412 0.006 0.217 0.006
2453284.25078 99.999 9.999 1.892 0.017 2.114 0.016 99.999 9.999 99.999 9.999 0.222 0.006


2453284.25153 1.706 0.017 1.949 0.017 2.094 0.016 0.243 0.007 0.388 0.006 0.145 0.006




