2453285.21576 1.683 0.0044  @ 6
2453285.24705 1.710 0.0016  @ 7
2453285.29902 1.769 0.0017  @ 8
2453285.34912 1.970 0.0020  @ 9
2453285.40357 2.103 0.0024  @ 0
