JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 8.00
2453248.28593 -0.613 0.007 -0.424 0.006 -0.257 0.006 0.189 0.008 0.356 0.008 0.167 0.007
2453248.28668 -0.631 0.007 -0.387 0.006 -0.180 0.006 0.244 0.008 0.451 0.008 0.207 0.007
2453248.28705 -0.603 0.007 -0.440 0.007 -0.265 0.006 0.163 0.008 0.338 0.008 0.175 0.008
2453248.28742 -0.612 0.007 -0.445 0.007 -0.263 0.006 0.167 0.008 0.349 0.008 0.182 0.008
2453248.28780 -0.609 0.007 -0.414 0.007 -0.258 0.006 0.195 0.008 0.351 0.008 0.156 0.008
2453248.28817 -0.611 0.007 -0.430 0.007 -0.226 0.006 0.181 0.008 0.385 0.008 0.204 0.008
2453248.28854 -0.616 0.007 -0.420 0.007 -0.247 0.006 0.196 0.008 0.369 0.008 0.173 0.008
2453248.28891 -0.631 0.007 -0.360 0.006 -0.195 0.006 0.271 0.008 0.436 0.008 0.165 0.007
2453248.28929 -0.604 0.007 -0.422 0.007 -0.256 0.006 0.182 0.008 0.348 0.008 0.166 0.008
2453248.28966 -0.628 0.007 -0.394 0.006 -0.187 0.006 0.234 0.008 0.441 0.008 0.207 0.007
2453248.29003 -0.614 0.007 -0.364 0.006 99.999 9.999 0.250 0.008 99.999 9.999 99.999 9.999
2453248.29041 -0.617 0.007 -0.376 0.006 -0.220 0.006 0.241 0.008 0.397 0.008 0.156 0.007
2453248.29079 -0.633 0.008 -0.394 0.007 99.999 9.999 0.239 0.009 99.999 9.999 99.999 9.999
2453248.29116 -0.640 0.007 -0.399 0.006 -0.218 0.006 0.241 0.008 0.422 0.008 0.181 0.007
2453248.29153 -0.624 0.007 -0.438 0.007 -0.257 0.006 0.186 0.008 0.367 0.008 0.181 0.008
2453248.29190 -0.598 0.007 -0.428 0.007 99.999 9.999 0.170 0.008 99.999 9.999 99.999 9.999


2453248.29265 -0.618 0.007 -0.379 0.006 -0.193 0.006 0.239 0.008 0.425 0.008 0.186 0.007




2453248.29377 -0.602 0.007 -0.432 0.007 -0.280 0.006 0.170 0.008 0.322 0.008 0.152 0.008
2453248.29414 -0.618 0.007 -0.421 0.007 99.999 9.999 0.197 0.008 99.999 9.999 99.999 9.999
2453248.29451 -0.596 0.007 99.999 9.999 -0.228 0.006 99.999 9.999 0.368 0.008 99.999 9.999
2453248.29488 -0.598 0.007 -0.446 0.007 -0.282 0.006 0.152 0.008 0.316 0.008 0.164 0.008


2453248.29564 -0.581 0.007 -0.432 0.007 -0.257 0.006 0.149 0.008 0.324 0.008 0.175 0.008
2453248.29601 -0.574 0.007 -0.433 0.007 -0.260 0.006 0.141 0.008 0.314 0.008 0.173 0.008




2453248.29713 99.999 9.999 -0.430 0.007 -0.254 0.006 99.999 9.999 99.999 9.999 0.176 0.008
2453248.29750 -0.600 0.007 -0.366 0.006 99.999 9.999 0.234 0.008 99.999 9.999 99.999 9.999
2453248.29787 -0.623 0.008 99.999 9.999 -0.194 0.006 99.999 9.999 0.429 0.009 99.999 9.999
