2453253.28238 -0.154 0.0031  @ 5
2453253.31521 -0.197 0.0006  @ 6
2453253.36667 -0.226 0.0006  @ 7
2453253.41797 -0.197 0.0006  @ 8
2453253.46974 -0.125 0.0007  @ 9
2453253.51932 -0.127 0.0008  @ 0
