2453284.22867 1.580 0.0024  @ 7
2453284.26967 1.824 0.0021  @ 8
2453284.31968 2.084 0.0025  @ 9
2453284.37550 2.231 0.0031  @ 0
2453284.42197 1.790 0.0022  @ 1
