2453266.24606 0.086 0.0039  @ 7
2453266.27357 0.111 0.0008  @ 8
2453266.32778 0.253 0.0010  @ 9
2453266.37737 0.270 0.0007  @ 0
2453266.42737 0.137 0.0007  @ 1
2453266.47186 0.069 0.0008  @ 2
