JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 5.00
2453217.36241 1.180 0.017 1.348 0.016 1.513 0.016 0.168 0.009 0.333 0.009 0.165 0.008
2453217.36280 1.185 0.016 1.308 0.015 1.493 0.015 0.123 0.009 0.308 0.009 0.185 0.008
2453217.36317 1.227 0.017 1.347 0.016 1.527 0.016 0.120 0.009 0.300 0.009 0.180 0.008
2453217.36354 1.183 0.017 1.320 0.016 1.503 0.016 0.137 0.009 0.320 0.009 0.183 0.008
2453217.36391 1.192 0.016 1.355 0.015 1.507 0.015 0.163 0.009 0.315 0.009 0.152 0.008
2453217.36429 1.211 0.017 1.371 0.016 1.547 0.016 0.160 0.009 0.336 0.009 0.176 0.008
2453217.36466 99.999 9.999 1.324 0.016 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453217.36503 1.249 0.016 1.364 0.016 1.577 0.016 0.115 0.008 0.328 0.008 0.213 0.008


2453217.36578 1.190 0.017 1.385 0.016 1.538 0.016 0.195 0.009 0.348 0.009 0.153 0.008
2453217.36615 1.205 0.017 1.335 0.016 1.559 0.016 0.130 0.009 0.354 0.009 0.224 0.008
2453217.36652 1.262 0.017 1.368 0.016 1.559 0.016 0.106 0.009 0.297 0.009 0.191 0.008
2453217.36689 1.241 0.017 1.373 0.016 1.575 0.016 0.132 0.009 0.334 0.009 0.202 0.008
2453217.36727 99.999 9.999 1.400 0.016 1.559 0.016 99.999 9.999 99.999 9.999 0.159 0.008
2453217.36764 1.238 0.017 1.391 0.016 1.573 0.016 0.153 0.009 0.335 0.009 0.182 0.008
2453217.36839 1.216 0.017 1.387 0.016 1.540 0.016 0.171 0.009 0.324 0.009 0.153 0.008
2453217.36877 1.223 0.017 1.359 0.016 1.548 0.016 0.136 0.009 0.325 0.009 0.189 0.008
2453217.36914 1.230 0.017 1.390 0.016 1.550 0.016 0.160 0.009 0.320 0.009 0.160 0.008


2453217.36988 1.267 0.017 1.418 0.016 1.612 0.016 0.151 0.009 0.345 0.009 0.194 0.008
2453217.37026 1.230 0.017 1.374 0.016 1.586 0.016 0.144 0.009 0.356 0.009 0.212 0.008
2453217.37063 1.274 0.017 1.428 0.016 1.617 0.016 0.154 0.009 0.343 0.009 0.189 0.008
2453217.37100 1.234 0.017 1.393 0.016 99.999 9.999 0.159 0.009 99.999 9.999 99.999 9.999
2453217.37137 1.272 0.017 1.407 0.016 1.607 0.016 0.135 0.009 0.335 0.009 0.200 0.008
2453217.37175 99.999 9.999 99.999 9.999 1.590 0.016 99.999 9.999 99.999 9.999 99.999 9.999
2453217.37212 1.234 0.017 1.371 0.016 1.537 0.016 0.137 0.009 0.303 0.009 0.166 0.008
2453217.37249 1.244 0.017 1.391 0.016 1.580 0.016 0.147 0.009 0.336 0.009 0.189 0.008
2453217.37286 1.256 0.017 1.411 0.016 99.999 9.999 0.155 0.009 99.999 9.999 99.999 9.999
2453217.37325 1.253 0.017 1.382 0.016 1.559 0.016 0.129 0.009 0.306 0.009 0.177 0.008






2453217.37474 1.212 0.017 1.381 0.016 99.999 9.999 0.169 0.009 99.999 9.999 99.999 9.999
2453217.37511 1.209 0.016 1.336 0.015 1.503 0.015 0.127 0.009 0.294 0.009 0.167 0.008
2453217.37548 99.999 9.999 1.382 0.016 1.532 0.016 99.999 9.999 99.999 9.999 0.150 0.008
2453217.37585 1.207 0.017 1.383 0.016 99.999 9.999 0.176 0.009 99.999 9.999 99.999 9.999
2453217.37623 1.195 0.017 1.370 0.016 1.535 0.016 0.175 0.009 0.340 0.009 0.165 0.008
2453217.37660 1.202 0.016 1.368 0.015 1.520 0.015 0.166 0.009 0.318 0.009 0.152 0.008


2453217.37734 99.999 9.999 1.341 0.015 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999


2453217.37810 1.225 0.017 1.344 0.016 1.529 0.016 0.119 0.009 0.304 0.009 0.185 0.008
2453217.37847 1.215 0.016 1.349 0.015 1.523 0.015 0.134 0.009 0.308 0.009 0.174 0.008
2453217.37884 1.229 0.017 1.367 0.016 1.527 0.016 0.138 0.009 0.298 0.009 0.160 0.008
2453217.37922 1.223 0.017 1.376 0.016 1.532 0.016 0.153 0.009 0.309 0.009 0.156 0.008


2453217.37996 1.224 0.017 1.392 0.016 1.566 0.016 0.168 0.009 0.342 0.009 0.174 0.008
2453217.38033 1.257 0.017 1.414 0.016 1.588 0.016 0.157 0.009 0.331 0.009 0.174 0.008
2453217.38071 1.208 0.017 1.346 0.016 1.545 0.016 0.138 0.009 0.337 0.009 0.199 0.008
2453217.38108 1.223 0.017 1.352 0.016 1.531 0.016 0.129 0.009 0.308 0.009 0.179 0.008


2453217.38182 1.238 0.017 1.380 0.016 1.563 0.016 0.142 0.009 0.325 0.009 0.183 0.008
2453217.38220 1.260 0.017 1.368 0.016 1.548 0.016 0.108 0.009 0.288 0.009 0.180 0.008
2453217.38258 1.271 0.017 1.392 0.016 1.594 0.016 0.121 0.009 0.323 0.009 0.202 0.008
2453217.38295 1.252 0.017 1.358 0.016 1.544 0.016 0.106 0.009 0.292 0.009 0.186 0.008
2453217.38332 99.999 9.999 1.389 0.016 1.585 0.016 99.999 9.999 99.999 9.999 0.196 0.008
2453217.38370 1.201 0.017 1.359 0.016 1.578 0.016 0.158 0.009 0.377 0.009 0.219 0.008


2453217.38444 1.223 0.017 1.391 0.016 1.545 0.016 0.168 0.009 0.322 0.009 0.154 0.008


2453217.38519 99.999 9.999 1.403 0.016 1.603 0.016 99.999 9.999 99.999 9.999 0.200 0.008
2453217.38556 1.259 0.017 1.425 0.017 1.595 0.017 0.166 0.009 0.336 0.009 0.170 0.008
2453217.38593 1.232 0.017 1.385 0.016 1.561 0.016 0.153 0.009 0.329 0.009 0.176 0.008
2453217.38630 99.999 9.999 1.445 0.017 1.611 0.017 99.999 9.999 99.999 9.999 0.166 0.008
2453217.38668 1.247 0.017 1.372 0.016 99.999 9.999 0.125 0.009 99.999 9.999 99.999 9.999
2453217.38705 1.260 0.017 1.351 0.016 1.599 0.016 0.091 0.009 0.339 0.009 0.248 0.008
2453217.38742 1.223 0.017 1.336 0.016 1.531 0.016 0.113 0.009 0.308 0.009 0.195 0.008


2453217.38818 1.281 0.017 1.448 0.017 99.999 9.999 0.167 0.009 99.999 9.999 99.999 9.999
2453217.38855 1.254 0.017 1.424 0.017 1.595 0.017 0.170 0.009 0.341 0.009 0.171 0.008
2453217.38892 1.174 0.017 1.333 0.016 1.483 0.016 0.159 0.009 0.309 0.009 0.150 0.008
2453217.38929 1.191 0.017 1.338 0.016 1.530 0.016 0.147 0.009 0.339 0.009 0.192 0.008
2453217.38967 1.222 0.017 1.398 0.017 99.999 9.999 0.176 0.009 99.999 9.999 99.999 9.999
2453217.39004 1.192 0.017 99.999 9.999 1.566 0.017 99.999 9.999 0.374 0.009 99.999 9.999
2453217.39041 1.194 0.017 1.347 0.017 1.517 0.017 0.153 0.009 0.323 0.009 0.170 0.008


2453217.39116 99.999 9.999 1.376 0.017 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453217.39153 1.142 0.020 1.296 0.019 1.485 0.019 0.154 0.011 0.343 0.011 0.189 0.010
2453217.39190 1.184 0.018 1.306 0.018 1.476 0.018 0.122 0.010 0.292 0.009 0.170 0.009
2453217.39227 99.999 9.999 1.330 0.018 1.494 0.018 99.999 9.999 99.999 9.999 0.164 0.009
2453217.39266 1.212 0.020 1.343 0.019 1.515 0.019 0.131 0.011 0.303 0.010 0.172 0.009
2453217.39303 1.179 0.020 1.315 0.019 1.530 0.019 0.136 0.011 0.351 0.010 0.215 0.009


2453217.39377 99.999 9.999 1.352 0.016 1.523 0.016 99.999 9.999 99.999 9.999 0.171 0.008
2453217.39415 1.163 0.017 1.315 0.016 1.497 0.016 0.152 0.009 0.334 0.009 0.182 0.008


2453217.39489 1.173 0.017 1.314 0.016 1.469 0.016 0.141 0.009 0.296 0.009 0.155 0.008
2453217.39526 1.144 0.017 1.266 0.016 1.509 0.016 0.122 0.009 0.365 0.009 0.243 0.008


2453217.39601 1.162 0.017 1.331 0.016 1.490 0.016 0.169 0.009 0.328 0.009 0.159 0.008
2453217.39638 1.230 0.017 1.337 0.016 1.505 0.016 0.107 0.009 0.275 0.009 0.168 0.008
2453217.39675 1.198 0.017 1.335 0.016 1.523 0.016 0.137 0.009 0.325 0.009 0.188 0.008
2453217.39714 99.999 9.999 1.365 0.016 1.537 0.016 99.999 9.999 99.999 9.999 0.172 0.008


2453217.39788 1.169 0.017 1.328 0.016 1.516 0.016 0.159 0.009 0.347 0.009 0.188 0.008


2453217.39863 1.216 0.017 1.350 0.016 99.999 9.999 0.134 0.009 99.999 9.999 99.999 9.999
2453217.39900 1.190 0.017 1.378 0.017 1.529 0.017 0.188 0.009 0.339 0.009 0.151 0.008
2453217.39937 1.241 0.017 1.397 0.017 1.580 0.017 0.156 0.009 0.339 0.009 0.183 0.008






2453217.40086 1.204 0.017 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453217.40123 1.231 0.017 1.349 0.016 1.519 0.016 0.118 0.009 0.288 0.009 0.170 0.008
2453217.40161 1.232 0.017 1.352 0.017 1.590 0.017 0.120 0.009 0.358 0.009 0.238 0.008
2453217.40198 99.999 9.999 1.408 0.017 1.606 0.017 99.999 9.999 99.999 9.999 0.198 0.008
2453217.40236 1.198 0.017 99.999 9.999 1.565 0.017 99.999 9.999 0.367 0.009 99.999 9.999
2453217.40273 1.239 0.017 1.379 0.016 1.552 0.016 0.140 0.009 0.313 0.009 0.173 0.008
2453217.40311 99.999 9.999 1.362 0.016 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453217.40348 1.265 0.017 1.385 0.016 1.578 0.016 0.120 0.009 0.313 0.009 0.193 0.008


2453217.40422 99.999 9.999 1.411 0.016 1.614 0.016 99.999 9.999 99.999 9.999 0.203 0.008
2453217.40460 99.999 9.999 1.387 0.017 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999


2453217.40534 1.315 0.017 1.448 0.017 1.604 0.017 0.133 0.009 0.289 0.009 0.156 0.008
2453217.40571 99.999 9.999 1.393 0.017 1.597 0.017 99.999 9.999 99.999 9.999 0.204 0.008
2453217.40609 1.263 0.017 1.397 0.016 1.585 0.016 0.134 0.009 0.322 0.009 0.188 0.008
2453217.40646 1.246 0.017 1.406 0.017 1.542 0.017 0.160 0.009 0.296 0.009 0.136 0.008
2453217.40683 1.255 0.017 1.425 0.017 99.999 9.999 0.170 0.009 99.999 9.999 99.999 9.999
2453217.40720 1.221 0.017 1.382 0.017 99.999 9.999 0.161 0.009 99.999 9.999 99.999 9.999


2453217.40796 99.999 9.999 1.443 0.017 1.651 0.017 99.999 9.999 99.999 9.999 0.208 0.008
2453217.40833 1.264 0.017 1.387 0.016 1.496 0.016 0.123 0.009 0.232 0.009 0.109 0.008
2453217.40870 99.999 9.999 1.379 0.017 1.604 0.017 99.999 9.999 99.999 9.999 0.225 0.008
2453217.40908 1.268 0.017 1.412 0.016 1.592 0.016 0.144 0.009 0.324 0.009 0.180 0.008
2453217.40945 99.999 9.999 1.470 0.017 1.659 0.017 99.999 9.999 99.999 9.999 0.189 0.008
2453217.40982 99.999 9.999 1.426 0.017 1.637 0.017 99.999 9.999 99.999 9.999 0.211 0.008
2453217.41019 1.265 0.017 1.400 0.017 1.583 0.017 0.135 0.009 0.318 0.009 0.183 0.008
2453217.41057 1.319 0.017 1.441 0.017 1.616 0.017 0.122 0.009 0.297 0.009 0.175 0.008
2453217.41094 1.306 0.017 1.468 0.017 99.999 9.999 0.162 0.009 99.999 9.999 99.999 9.999


2453217.41168 1.315 0.017 1.437 0.017 1.628 0.017 0.122 0.009 0.313 0.009 0.191 0.008
2453217.41207 1.300 0.017 1.430 0.017 1.639 0.017 0.130 0.009 0.339 0.009 0.209 0.008
2453217.41244 1.304 0.017 1.437 0.017 1.587 0.017 0.133 0.009 0.283 0.009 0.150 0.008
2453217.41281 1.302 0.017 1.463 0.017 1.657 0.017 0.161 0.009 0.355 0.009 0.194 0.008






2453217.41430 1.286 0.021 1.482 0.020 1.619 0.020 0.196 0.011 0.333 0.010 0.137 0.009
2453217.41467 1.344 0.023 1.494 0.023 1.704 0.023 0.150 0.011 0.360 0.010 0.210 0.009
2453217.41505 99.999 9.999 99.999 9.999 1.670 0.021 99.999 9.999 99.999 9.999 99.999 9.999
2453217.41542 1.384 0.020 1.522 0.020 1.665 0.020 0.138 0.010 0.281 0.009 0.143 0.009
2453217.41579 99.999 9.999 1.480 0.021 1.673 0.021 99.999 9.999 99.999 9.999 0.193 0.009
2453217.41616 1.282 0.022 1.455 0.021 1.714 0.021 0.173 0.011 0.432 0.010 0.259 0.009
2453217.41655 1.319 0.020 99.999 9.999 1.600 0.020 99.999 9.999 0.281 0.009 99.999 9.999
2453217.41692 1.336 0.022 1.484 0.021 1.634 0.021 0.148 0.011 0.298 0.010 0.150 0.009
2453217.41729 1.363 0.019 1.470 0.019 1.659 0.019 0.107 0.010 0.296 0.009 0.189 0.009
2453217.41766 1.336 0.020 99.999 9.999 1.714 0.020 99.999 9.999 0.378 0.009 99.999 9.999
2453217.41804 1.379 0.020 1.540 0.020 1.726 0.020 0.161 0.010 0.347 0.009 0.186 0.009


2453217.41878 1.350 0.018 1.476 0.018 1.703 0.018 0.126 0.009 0.353 0.009 0.227 0.008


2453217.41953 1.337 0.018 1.497 0.018 1.690 0.018 0.160 0.009 0.353 0.009 0.193 0.008
2453217.41990 1.384 0.019 1.523 0.019 1.699 0.019 0.139 0.009 0.315 0.009 0.176 0.008
2453217.42027 1.350 0.018 1.501 0.018 1.681 0.018 0.151 0.009 0.331 0.009 0.180 0.008


2453217.42102 1.346 0.018 1.497 0.018 1.647 0.018 0.151 0.009 0.301 0.009 0.150 0.008
2453217.42139 1.346 0.018 1.505 0.018 1.692 0.018 0.159 0.009 0.346 0.009 0.187 0.008
2453217.42177 1.369 0.018 1.513 0.018 1.670 0.018 0.144 0.009 0.301 0.009 0.157 0.008
2453217.42214 1.373 0.018 1.533 0.018 1.662 0.018 0.160 0.009 0.289 0.009 0.129 0.008
2453217.42252 1.352 0.018 1.486 0.018 1.692 0.018 0.134 0.009 0.340 0.009 0.206 0.008
2453217.42289 99.999 9.999 1.544 0.018 1.757 0.018 99.999 9.999 99.999 9.999 0.213 0.008
2453217.42326 1.341 0.018 1.500 0.018 1.678 0.018 0.159 0.009 0.337 0.009 0.178 0.008
2453217.42363 1.361 0.019 1.513 0.019 1.710 0.019 0.152 0.009 0.349 0.009 0.197 0.008
2453217.42401 99.999 9.999 1.562 0.019 1.776 0.019 99.999 9.999 99.999 9.999 0.214 0.008
2453217.42438 1.410 0.019 1.561 0.019 99.999 9.999 0.151 0.009 99.999 9.999 99.999 9.999
2453217.42475 1.399 0.019 1.536 0.019 1.720 0.019 0.137 0.009 0.321 0.009 0.184 0.008
2453217.42512 1.382 0.019 1.542 0.019 1.715 0.019 0.160 0.009 0.333 0.009 0.173 0.008
2453217.42550 1.398 0.019 1.535 0.019 1.703 0.019 0.137 0.009 0.305 0.009 0.168 0.008
2453217.42587 1.362 0.018 1.497 0.018 1.694 0.018 0.135 0.009 0.332 0.009 0.197 0.008


