JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 9.00
2453232.38502 -0.832 0.007 -0.672 0.007 -0.474 0.006 0.160 0.008 0.358 0.008 0.198 0.008
2453232.38539 -0.857 0.007 -0.672 0.007 -0.471 0.006 0.185 0.008 0.386 0.008 0.201 0.008
2453232.38576 -0.828 0.008 -0.655 0.007 -0.463 0.007 0.173 0.009 0.365 0.009 0.192 0.008
2453232.38613 -0.796 0.009 -0.668 0.009 -0.448 0.008 0.128 0.010 0.348 0.009 0.220 0.009
2453232.38651 -0.791 0.013 -0.637 0.012 -0.564 0.012 0.154 0.015 0.227 0.015 0.073 0.014
2453232.38688 -0.740 0.017 -0.719 0.017 -0.743 0.017 0.021 0.020 -0.003 0.020 -0.024 0.020
2453232.38725 -0.945 0.025 -0.686 0.022 -0.464 0.019 0.259 0.030 0.481 0.028 0.222 0.025
2453232.38762 -0.789 0.028 -0.615 0.025 -0.487 0.024 0.174 0.033 0.302 0.032 0.128 0.029
2453232.38800 -0.681 0.057 -0.683 0.058 -0.629 0.055 -0.002 0.071 0.052 0.069 0.054 0.069
2453232.38837 -0.244 0.226 99.999 9.999 -0.562 0.268 99.999 9.999 -0.318 0.291 99.999 9.999
2453232.38874 99.999 9.999 99.999 9.999 -0.766 0.344 99.999 9.999 99.999 9.999 99.999 9.999
2453232.38911 -0.778 0.187 -0.666 0.172 -0.464 0.151 0.112 0.227 0.314 0.211 0.202 0.198
2453232.38950 -0.807 0.164 -0.960 0.178 -0.716 0.160 -0.153 0.220 0.091 0.206 0.244 0.217
2453232.38987 99.999 9.999 -0.336 0.243 -0.415 0.267 99.999 9.999 99.999 9.999 -0.079 0.296




2453232.39136 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999


2453232.39211 -0.716 0.153 -0.864 0.166 -0.654 0.149 -0.148 0.202 0.062 0.188 0.210 0.199
2453232.39248 99.999 9.999 -0.855 0.175 -0.361 0.128 99.999 9.999 99.999 9.999 0.494 0.191
2453232.39285 -0.908 0.184 -0.675 0.152 -0.411 0.136 0.233 0.214 0.497 0.202 0.264 0.174
2453232.39322 -1.174 0.150 -0.578 0.099 -0.401 0.089 0.596 0.165 0.773 0.159 0.177 0.112
