2453241.33542 -0.187 0.0006  @ 3
2453241.38622 -0.171 0.0006  @ 4
2453241.43793 -0.169 0.0005  @ 5
2453241.48906 -0.227 0.0004  @ 6
2453241.54021 -0.256 0.0005  @ 7
2453241.58856 -0.226 0.0006  @ 8
