2453228.33505 0.533 0.0009  @ 0
2453228.37684 0.358 0.0008  @ 1
2453228.42801 0.255 0.0007  @ 2
2453228.47940 0.296 0.0008  @ 3
2453228.53167 0.362 0.0007  @ 4
2453228.57585 0.405 0.0009  @ 5
