JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V


2453263.29174 0.788 0.009 1.017 0.009 99.999 9.999 0.229 0.007 99.999 9.999 99.999 9.999
2453263.29211 0.828 0.009 1.024 0.009 1.186 0.009 0.196 0.007 0.358 0.006 0.162 0.006


2453263.29286 0.780 0.009 1.000 0.009 1.159 0.009 0.220 0.007 0.379 0.006 0.159 0.006
2453263.29323 99.999 9.999 0.948 0.009 1.141 0.009 99.999 9.999 99.999 9.999 0.193 0.006
2453263.29360 99.999 9.999 0.948 0.009 1.137 0.009 99.999 9.999 99.999 9.999 0.189 0.006
2453263.29398 0.775 0.009 1.026 0.009 1.175 0.009 0.251 0.007 0.400 0.006 0.149 0.006
2453263.29435 99.999 9.999 0.926 0.009 1.175 0.009 99.999 9.999 99.999 9.999 0.249 0.006


2453263.29510 0.788 0.009 1.031 0.009 99.999 9.999 0.243 0.007 99.999 9.999 99.999 9.999
2453263.29547 0.796 0.009 99.999 9.999 1.157 0.009 99.999 9.999 0.361 0.006 99.999 9.999


2453263.29623 0.757 0.009 0.991 0.009 99.999 9.999 0.234 0.007 99.999 9.999 99.999 9.999
2453263.29660 0.780 0.009 99.999 9.999 1.150 0.009 99.999 9.999 0.370 0.006 99.999 9.999
2453263.29697 0.771 0.009 0.989 0.009 1.138 0.009 0.218 0.007 0.367 0.006 0.149 0.006
2453263.29735 0.775 0.009 0.997 0.009 99.999 9.999 0.222 0.007 99.999 9.999 99.999 9.999
2453263.29772 0.761 0.009 99.999 9.999 1.136 0.009 99.999 9.999 0.375 0.006 99.999 9.999
2453263.29809 0.814 0.009 0.970 0.009 1.131 0.009 0.156 0.007 0.317 0.006 0.161 0.006
2453263.29846 0.771 0.009 0.993 0.009 99.999 9.999 0.222 0.007 99.999 9.999 99.999 9.999


2453263.29921 0.741 0.009 0.979 0.009 1.155 0.009 0.238 0.007 0.414 0.006 0.176 0.006
2453263.29958 0.786 0.009 0.959 0.009 1.118 0.009 0.173 0.007 0.332 0.006 0.159 0.006


2453263.30034 99.999 9.999 0.933 0.009 1.095 0.009 99.999 9.999 99.999 9.999 0.162 0.006
2453263.30071 0.788 0.009 99.999 9.999 1.142 0.009 99.999 9.999 0.354 0.006 99.999 9.999
2453263.30109 0.745 0.009 0.958 0.009 1.102 0.009 0.213 0.007 0.357 0.006 0.144 0.006
2453263.30146 0.766 0.009 0.949 0.009 1.110 0.009 0.183 0.007 0.344 0.006 0.161 0.006
2453263.30183 0.740 0.009 0.944 0.009 1.124 0.009 0.204 0.007 0.384 0.006 0.180 0.006
2453263.30221 0.760 0.009 0.968 0.009 1.117 0.009 0.208 0.007 0.357 0.006 0.149 0.006
2453263.30258 0.754 0.009 0.945 0.009 1.114 0.009 0.191 0.007 0.360 0.006 0.169 0.006


2453263.30333 0.744 0.009 0.948 0.009 1.140 0.009 0.204 0.007 0.396 0.006 0.192 0.006
2453263.30370 99.999 9.999 0.882 0.009 1.104 0.009 99.999 9.999 99.999 9.999 0.222 0.006


