2453210.35547 0.180 0.007
2453210.35594 0.203 0.007
2453210.35640 0.167 0.007
2453210.35734 0.172 0.007
2453210.35780 0.174 0.007
2453210.35827 0.208 0.007
2453210.35873 0.170 0.007
2453210.35920 0.203 0.007
2453210.35967 0.168 0.007
2453210.36013 0.203 0.007
2453210.36059 0.179 0.007
2453210.36107 0.173 0.007
2453210.36153 0.203 0.007
2453210.36199 0.181 0.007
2453210.36246 0.196 0.007
2453210.36293 0.174 0.007
2453210.36339 0.177 0.007
2453210.36386 0.162 0.007
2453210.36432 0.178 0.007
2453210.36479 0.182 0.007
2453210.36526 0.172 0.007
2453210.36618 0.175 0.007
2453210.36666 0.189 0.007
2453210.36758 0.186 0.007
2453210.36805 0.188 0.007
2453210.36852 0.177 0.007
2453210.36945 0.187 0.007
2453210.37038 0.189 0.007
2453210.37085 0.157 0.007
2453210.37131 0.187 0.007
2453210.37177 0.187 0.007
2453210.37225 0.197 0.007
2453210.37271 0.171 0.007
2453210.37317 0.187 0.007
2453210.37364 0.205 0.007
2453210.37411 0.179 0.007
2453210.37457 0.181 0.007
2453210.37504 0.186 0.007
2453210.37550 0.194 0.007
2453210.37598 0.194 0.007
2453210.37690 0.200 0.007
2453210.37830 0.210 0.007
2453210.37876 0.194 0.007
2453210.37923 0.171 0.007
2453210.37970 0.175 0.007
2453210.38017 0.172 0.007
2453210.38063 0.168 0.007
2453210.38157 0.167 0.007
2453210.38203 0.186 0.007
2453210.38249 0.207 0.007
2453210.38295 0.183 0.007
2453210.38461 0.160 0.007
2453210.38507 0.172 0.007
2453210.38555 0.198 0.007
2453210.38601 0.213 0.007
2453210.38647 0.177 0.007
2453210.38695 0.195 0.007
2453210.38741 0.171 0.007
2453210.38787 0.159 0.007
2453210.38834 0.145 0.007
2453210.38881 0.171 0.007
2453210.38927 0.184 0.007
2453210.38974 0.164 0.007
2453210.39020 0.174 0.007
2453210.39067 0.184 0.007
2453210.39114 0.185 0.007
2453210.39160 0.191 0.007
2453210.39206 0.168 0.007
2453210.39254 0.181 0.007
2453210.39300 0.211 0.007
2453210.39346 0.194 0.007
2453210.39393 0.183 0.007
2453210.39440 0.184 0.007
2453210.39486 0.184 0.007
2453210.39533 0.177 0.007
2453210.39579 0.187 0.007
2453210.39626 0.182 0.007
2453210.39673 0.161 0.007
2453210.39765 0.186 0.007
2453210.39813 0.159 0.007
2453210.39859 0.194 0.007
2453210.39952 0.176 0.007
2453210.39999 0.211 0.007
2453210.40045 0.190 0.007
2453210.40092 0.169 0.007
2453210.40185 0.181 0.007
2453210.40232 0.179 0.007
2453210.40278 0.199 0.007
2453210.40324 0.194 0.007
2453210.40372 0.196 0.007
2453210.40418 0.159 0.007
2453210.40511 0.179 0.007
2453210.40558 0.194 0.007
2453210.40604 0.176 0.007
2453210.40697 0.173 0.007
2453210.40791 0.171 0.007
2453210.40837 0.199 0.007
2453210.40883 0.204 0.007
2453210.40931 0.164 0.007
2453210.40977 0.172 0.007
2453210.41023 0.182 0.007
2453210.41070 0.175 0.007
2453210.41117 0.203 0.007
2453210.41163 0.176 0.007
2453210.41210 0.173 0.007
2453210.41257 0.176 0.007
2453210.41304 0.199 0.007
2453210.41350 0.202 0.007
2453210.41396 0.183 0.007
2453210.41444 0.188 0.007
2453210.41490 0.184 0.007
2453210.41536 0.180 0.007
2453210.41582 0.193 0.007
2453210.41630 0.186 0.007
2453210.41676 0.195 0.007
2453210.41723 0.190 0.007
2453210.41863 0.191 0.007
2453210.41909 0.192 0.007
2453210.42003 0.179 0.007
2453210.42049 0.179 0.007
2453210.42095 0.183 0.007
2453210.42142 0.196 0.007
2453210.42235 0.168 0.007
2453210.42282 0.183 0.007
2453210.42328 0.207 0.007
2453210.42375 0.172 0.007
2453210.42422 0.191 0.007
2453210.42468 0.201 0.007
2453210.42514 0.183 0.007
2453210.42562 0.192 0.007
2453210.42654 0.172 0.007
2453210.42701 0.189 0.007
2453210.42748 0.197 0.007
2453210.42794 0.196 0.007
2453210.42887 0.176 0.007
2453210.42934 0.172 0.007
2453210.43027 0.184 0.007
2453210.43073 0.182 0.007
2453210.43167 0.208 0.007
2453210.43213 0.193 0.007
2453210.43260 0.190 0.007
2453210.43353 0.158 0.007
2453210.43400 0.179 0.007
2453210.43446 0.212 0.007
2453210.43493 0.181 0.007
2453210.43540 0.161 0.007
2453210.43586 0.169 0.007
2453210.43632 0.171 0.007
2453210.43680 0.167 0.007
2453210.43726 0.200 0.007
2453210.43772 0.180 0.007
2453210.43819 0.189 0.007
2453210.43866 0.183 0.007
2453210.43959 0.215 0.007
2453210.44005 0.167 0.007
2453210.44052 0.192 0.007
2453210.44099 0.159 0.007
2453210.44145 0.212 0.006
2453210.44191 0.192 0.007
2453210.44239 0.160 0.007
2453210.44285 0.169 0.007
2453210.44331 0.221 0.007
2453210.44378 0.176 0.007
2453210.44425 0.197 0.007
2453210.44471 0.187 0.007
2453210.44518 0.196 0.007
2453210.44564 0.170 0.007
2453210.44611 0.185 0.007
2453210.44658 0.181 0.007
2453210.44750 0.193 0.007
2453210.44798 0.190 0.007
2453210.44844 0.176 0.007
2453210.44890 0.165 0.007
2453210.44937 0.170 0.007
2453210.44984 0.186 0.007
2453210.45030 0.180 0.007
2453210.45077 0.170 0.007
2453210.45123 0.181 0.007
2453210.45170 0.198 0.007
2453210.45217 0.199 0.007
2453210.45263 0.182 0.007
2453210.45309 0.204 0.007
2453210.45357 0.185 0.007
2453210.45403 0.197 0.006
2453210.45449 0.181 0.007
2453210.45496 0.161 0.007
2453210.45543 0.168 0.007
2453210.45589 0.160 0.007
2453210.45636 0.209 0.007
2453210.45683 0.190 0.006
2453210.45729 0.170 0.007
2453210.45776 0.176 0.007
2453210.45822 0.185 0.007
2453210.45870 0.164 0.007
2453210.45916 0.179 0.007
