JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 8.00
2453234.38247 -0.645 0.006 -0.463 0.006 -0.294 0.006 0.182 0.006 0.351 0.006 0.169 0.006
2453234.38284 -0.610 0.006 -0.416 0.006 -0.242 0.006 0.194 0.006 0.368 0.006 0.174 0.006
2453234.38322 -0.648 0.006 -0.438 0.006 -0.242 0.006 0.210 0.006 0.406 0.006 0.196 0.006
2453234.38359 -0.634 0.006 -0.431 0.006 -0.256 0.006 0.203 0.006 0.378 0.006 0.175 0.006
2453234.38396 -0.642 0.006 -0.428 0.006 -0.221 0.006 0.214 0.006 0.421 0.006 0.207 0.006
2453234.38433 -0.631 0.006 -0.459 0.006 -0.237 0.006 0.172 0.007 0.394 0.006 0.222 0.006
2453234.38471 -0.667 0.006 -0.460 0.006 -0.286 0.006 0.207 0.006 0.381 0.006 0.174 0.006
2453234.38508 -0.656 0.006 -0.455 0.006 -0.250 0.006 0.201 0.006 0.406 0.006 0.205 0.006
2453234.38545 -0.639 0.006 -0.465 0.006 -0.282 0.006 0.174 0.006 0.357 0.006 0.183 0.006
2453234.38582 -0.635 0.006 -0.457 0.006 -0.238 0.006 0.178 0.007 0.397 0.006 0.219 0.006
2453234.38620 -0.647 0.006 -0.451 0.006 -0.249 0.006 0.196 0.006 0.398 0.006 0.202 0.006
2453234.38657 -0.615 0.006 -0.423 0.006 -0.213 0.006 0.192 0.006 0.402 0.006 0.210 0.006
2453234.38694 -0.619 0.006 -0.431 0.006 -0.227 0.006 0.188 0.006 0.392 0.006 0.204 0.006
2453234.38731 -0.630 0.006 -0.451 0.006 -0.233 0.006 0.179 0.006 0.397 0.006 0.218 0.006
2453234.38770 -0.623 0.006 -0.424 0.006 -0.222 0.006 0.199 0.006 0.401 0.006 0.202 0.006
2453234.38807 -0.643 0.006 -0.450 0.006 -0.250 0.006 0.193 0.006 0.393 0.006 0.200 0.006
2453234.38844 -0.621 0.006 -0.455 0.006 -0.250 0.006 0.166 0.007 0.371 0.006 0.205 0.006
2453234.38881 -0.635 0.006 -0.431 0.006 -0.231 0.006 0.204 0.006 0.404 0.006 0.200 0.006
2453234.38919 -0.646 0.006 -0.456 0.006 99.999 9.999 0.190 0.007 99.999 9.999 99.999 9.999
2453234.38956 -0.630 0.006 -0.430 0.006 -0.235 0.006 0.200 0.006 0.395 0.006 0.195 0.006
2453234.38993 -0.665 0.006 -0.461 0.005 99.999 9.999 0.204 0.006 99.999 9.999 99.999 9.999
2453234.39030 -0.662 0.006 -0.467 0.006 -0.283 0.006 0.195 0.006 0.379 0.006 0.184 0.006
