JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 9.00
2453230.32543 -0.183 0.007 0.013 0.007 0.152 0.006 0.196 0.007 0.335 0.006 0.139 0.006
2453230.32580 -0.193 0.007 -0.007 0.007 0.163 0.006 0.186 0.007 0.356 0.006 0.170 0.006
2453230.32619 -0.172 0.007 0.025 0.007 0.214 0.006 0.197 0.007 0.386 0.006 0.189 0.006
2453230.32656 -0.160 0.007 -0.010 0.007 0.217 0.006 0.150 0.007 0.377 0.006 0.227 0.006
2453230.32693 -0.195 0.007 0.007 0.007 0.214 0.006 0.202 0.007 0.409 0.006 0.207 0.006
2453230.32730 -0.190 0.007 0.013 0.007 0.195 0.006 0.203 0.007 0.385 0.006 0.182 0.006
2453230.32768 -0.176 0.007 -0.004 0.007 0.198 0.006 0.172 0.007 0.374 0.006 0.202 0.006
2453230.32805 -0.197 0.007 -0.022 0.007 0.147 0.006 0.175 0.007 0.344 0.006 0.169 0.006
2453230.32842 -0.177 0.007 0.011 0.007 0.229 0.006 0.188 0.007 0.406 0.006 0.218 0.006
2453230.32880 -0.166 0.007 0.006 0.007 0.171 0.006 0.172 0.007 0.337 0.006 0.165 0.006
2453230.32917 -0.170 0.007 -0.013 0.007 0.177 0.006 0.157 0.007 0.347 0.006 0.190 0.006
2453230.32954 -0.163 0.007 0.018 0.007 0.173 0.006 0.181 0.007 0.336 0.006 0.155 0.006
2453230.32992 99.999 9.999 0.024 0.007 0.232 0.006 99.999 9.999 99.999 9.999 0.208 0.006


2453230.33068 -0.171 0.007 0.016 0.007 0.175 0.006 0.187 0.007 0.346 0.006 0.159 0.006
2453230.33105 -0.185 0.007 -0.020 0.007 0.199 0.006 0.165 0.007 0.384 0.006 0.219 0.006
2453230.33142 -0.173 0.007 0.009 0.007 99.999 9.999 0.182 0.007 99.999 9.999 99.999 9.999
2453230.33180 99.999 9.999 0.026 0.007 0.236 0.006 99.999 9.999 99.999 9.999 0.210 0.006
2453230.33217 -0.166 0.007 0.007 0.007 99.999 9.999 0.173 0.007 99.999 9.999 99.999 9.999
2453230.33254 -0.205 0.007 -0.011 0.007 0.191 0.006 0.194 0.007 0.396 0.006 0.202 0.006
2453230.33292 -0.157 0.007 0.022 0.007 99.999 9.999 0.179 0.007 99.999 9.999 99.999 9.999


2453230.33367 -0.161 0.007 0.014 0.007 0.194 0.006 0.175 0.007 0.355 0.006 0.180 0.006
2453230.33405 -0.157 0.007 0.036 0.007 99.999 9.999 0.193 0.007 99.999 9.999 99.999 9.999
2453230.33442 -0.172 0.007 0.002 0.007 0.198 0.006 0.174 0.007 0.370 0.006 0.196 0.006
2453230.33480 -0.155 0.007 0.005 0.007 0.181 0.006 0.160 0.007 0.336 0.006 0.176 0.006


2453230.33554 -0.165 0.007 0.021 0.007 99.999 9.999 0.186 0.007 99.999 9.999 99.999 9.999


2453230.33629 99.999 9.999 0.005 0.007 0.218 0.006 99.999 9.999 99.999 9.999 0.213 0.006
2453230.33666 -0.163 0.007 0.004 0.007 0.184 0.006 0.167 0.007 0.347 0.006 0.180 0.006
2453230.33703 -0.195 0.007 -0.001 0.007 0.161 0.006 0.194 0.007 0.356 0.006 0.162 0.006
2453230.33741 -0.184 0.007 -0.001 0.007 0.211 0.006 0.183 0.007 0.395 0.006 0.212 0.006
2453230.33778 -0.156 0.007 0.046 0.007 0.224 0.006 0.202 0.007 0.380 0.006 0.178 0.006
2453230.33815 -0.169 0.007 0.005 0.007 0.227 0.006 0.174 0.007 0.396 0.006 0.222 0.006
2453230.33854 -0.190 0.007 -0.016 0.007 99.999 9.999 0.174 0.007 99.999 9.999 99.999 9.999
2453230.33891 -0.172 0.007 0.016 0.007 0.212 0.006 0.188 0.007 0.384 0.006 0.196 0.006


2453230.33966 -0.179 0.007 0.022 0.007 0.186 0.006 0.201 0.007 0.365 0.006 0.164 0.006
2453230.34003 -0.173 0.007 0.001 0.007 0.208 0.006 0.174 0.007 0.381 0.006 0.207 0.006
2453230.34041 -0.158 0.007 0.027 0.007 0.223 0.006 0.185 0.007 0.381 0.006 0.196 0.006
2453230.34078 -0.159 0.007 0.027 0.007 0.221 0.006 0.186 0.007 0.380 0.006 0.194 0.006
2453230.34115 -0.159 0.007 0.028 0.007 99.999 9.999 0.187 0.007 99.999 9.999 99.999 9.999
2453230.34153 -0.153 0.007 0.000 0.007 0.226 0.006 0.153 0.007 0.379 0.006 0.226 0.006
2453230.34190 -0.197 0.007 0.006 0.007 0.198 0.006 0.203 0.007 0.395 0.006 0.192 0.006


2453230.34266 -0.157 0.007 0.021 0.007 0.191 0.006 0.178 0.007 0.348 0.006 0.170 0.006
2453230.34303 -0.147 0.007 0.010 0.007 0.209 0.006 0.157 0.007 0.356 0.006 0.199 0.006
2453230.34340 -0.170 0.007 0.004 0.007 0.187 0.006 0.174 0.007 0.357 0.006 0.183 0.006
2453230.34378 -0.155 0.007 0.032 0.007 0.222 0.006 0.187 0.007 0.377 0.006 0.190 0.006
2453230.34415 -0.166 0.007 0.052 0.007 99.999 9.999 0.218 0.007 99.999 9.999 99.999 9.999
2453230.34452 -0.150 0.007 0.018 0.007 0.206 0.006 0.168 0.007 0.356 0.006 0.188 0.006




2453230.34564 99.999 9.999 0.040 0.007 0.232 0.006 99.999 9.999 99.999 9.999 0.192 0.006
2453230.34602 -0.146 0.007 0.041 0.007 99.999 9.999 0.187 0.007 99.999 9.999 99.999 9.999
2453230.34639 -0.146 0.007 0.033 0.007 0.236 0.006 0.179 0.007 0.382 0.006 0.203 0.006
2453230.34678 -0.128 0.007 0.044 0.007 99.999 9.999 0.172 0.007 99.999 9.999 99.999 9.999
2453230.34715 99.999 9.999 0.063 0.007 0.255 0.006 99.999 9.999 99.999 9.999 0.192 0.006
2453230.34752 -0.161 0.007 0.017 0.007 0.208 0.006 0.178 0.007 0.369 0.006 0.191 0.006
2453230.34790 -0.139 0.007 0.041 0.007 99.999 9.999 0.180 0.007 99.999 9.999 99.999 9.999
2453230.34827 -0.172 0.007 0.005 0.007 0.215 0.006 0.177 0.007 0.387 0.006 0.210 0.006
2453230.34864 -0.159 0.007 0.032 0.007 0.200 0.006 0.191 0.007 0.359 0.006 0.168 0.006




2453230.34976 -0.162 0.007 0.009 0.007 0.210 0.006 0.171 0.007 0.372 0.006 0.201 0.006
2453230.35014 -0.154 0.008 0.029 0.007 0.212 0.007 0.183 0.008 0.366 0.008 0.183 0.007
2453230.35052 -0.149 0.008 0.020 0.007 0.248 0.006 0.169 0.008 0.397 0.007 0.228 0.006


2453230.35127 99.999 9.999 0.042 0.007 0.212 0.007 99.999 9.999 99.999 9.999 0.170 0.007
2453230.35164 -0.140 0.008 0.037 0.007 99.999 9.999 0.177 0.008 99.999 9.999 99.999 9.999
2453230.35201 -0.135 0.008 0.033 0.007 0.212 0.007 0.168 0.008 0.347 0.008 0.179 0.007
2453230.35239 -0.152 0.008 99.999 9.999 0.231 0.007 99.999 9.999 0.383 0.008 99.999 9.999


2453230.35313 -0.133 0.008 0.024 0.008 0.185 0.008 0.157 0.008 0.318 0.008 0.161 0.008
2453230.35351 -0.138 0.008 0.016 0.008 0.222 0.008 0.154 0.008 0.360 0.008 0.206 0.008
2453230.35388 -0.128 0.008 0.060 0.007 0.243 0.007 0.188 0.008 0.371 0.008 0.183 0.007
2453230.35425 99.999 9.999 0.050 0.008 0.261 0.008 99.999 9.999 99.999 9.999 0.211 0.008
2453230.35464 -0.118 0.008 0.046 0.008 99.999 9.999 0.164 0.008 99.999 9.999 99.999 9.999
2453230.35501 -0.158 0.010 0.022 0.009 0.232 0.009 0.180 0.009 0.390 0.009 0.210 0.008
2453230.35539 -0.091 0.009 0.061 0.008 99.999 9.999 0.152 0.009 99.999 9.999 99.999 9.999


2453230.35613 -0.136 0.009 0.041 0.008 0.210 0.008 0.177 0.009 0.346 0.009 0.169 0.008
2453230.35651 -0.125 0.011 0.025 0.010 0.240 0.009 0.150 0.011 0.365 0.010 0.215 0.009
2453230.35688 -0.124 0.010 0.033 0.009 0.247 0.009 0.157 0.009 0.371 0.009 0.214 0.008
2453230.35725 -0.122 0.011 0.049 0.010 0.241 0.009 0.171 0.011 0.363 0.010 0.192 0.009
2453230.35763 -0.198 0.013 0.052 0.011 0.279 0.011 0.250 0.013 0.477 0.012 0.227 0.011
2453230.35800 -0.157 0.009 0.050 0.008 0.268 0.008 0.207 0.009 0.425 0.009 0.218 0.008


2453230.35876 -0.144 0.008 0.018 0.007 0.221 0.007 0.162 0.008 0.365 0.008 0.203 0.007
2453230.35913 -0.154 0.008 0.032 0.007 0.198 0.007 0.186 0.008 0.352 0.008 0.166 0.007
2453230.35950 -0.144 0.008 0.063 0.007 0.258 0.007 0.207 0.008 0.402 0.008 0.195 0.007
2453230.35988 -0.137 0.008 0.061 0.007 0.226 0.007 0.198 0.008 0.363 0.008 0.165 0.007
2453230.36025 -0.121 0.008 0.019 0.007 0.234 0.007 0.140 0.008 0.355 0.008 0.215 0.007
2453230.36062 -0.145 0.008 0.020 0.007 0.231 0.007 0.165 0.008 0.376 0.008 0.211 0.007
2453230.36100 -0.162 0.010 0.052 0.009 0.204 0.009 0.214 0.009 0.366 0.009 0.152 0.008
2453230.36137 -0.129 0.008 0.055 0.007 99.999 9.999 0.184 0.008 99.999 9.999 99.999 9.999
2453230.36174 -0.138 0.007 0.032 0.007 0.232 0.006 0.170 0.007 0.370 0.006 0.200 0.006
