JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 8.00
2453245.46149 99.999 9.999 0.082 0.007 0.264 0.007 99.999 9.999 99.999 9.999 0.182 0.007
2453245.46188 -0.115 0.008 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453245.46225 -0.086 0.008 0.090 0.007 99.999 9.999 0.176 0.008 99.999 9.999 99.999 9.999


2453245.46299 -0.091 0.008 99.999 9.999 0.360 0.008 99.999 9.999 0.451 0.008 99.999 9.999
2453245.46337 -0.108 0.008 0.171 0.007 0.354 0.007 0.279 0.008 0.462 0.008 0.183 0.007
2453245.46374 -0.073 0.008 0.072 0.007 99.999 9.999 0.145 0.008 99.999 9.999 99.999 9.999
2453245.46411 99.999 9.999 0.019 0.007 0.201 0.007 99.999 9.999 99.999 9.999 0.182 0.007
2453245.46449 -0.112 0.008 0.100 0.007 0.292 0.007 0.212 0.008 0.404 0.008 0.192 0.007
2453245.46486 -0.105 0.008 0.122 0.007 99.999 9.999 0.227 0.008 99.999 9.999 99.999 9.999
2453245.46523 -0.111 0.008 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453245.46561 -0.064 0.008 99.999 9.999 0.290 0.008 99.999 9.999 0.354 0.008 99.999 9.999
2453245.46598 -0.097 0.008 0.143 0.008 0.352 0.008 0.240 0.008 0.449 0.008 0.209 0.007
2453245.46635 -0.126 0.008 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453245.46672 -0.102 0.008 0.083 0.008 0.254 0.008 0.185 0.008 0.356 0.008 0.171 0.007
2453245.46711 -0.125 0.008 0.112 0.008 0.293 0.008 0.237 0.008 0.418 0.008 0.181 0.007
2453245.46748 -0.108 0.008 0.131 0.008 0.306 0.008 0.239 0.008 0.414 0.008 0.175 0.007
2453245.46785 -0.100 0.008 0.051 0.008 0.222 0.008 0.151 0.008 0.322 0.008 0.171 0.007
2453245.46822 -0.097 0.008 0.084 0.008 0.251 0.008 0.181 0.008 0.348 0.008 0.167 0.007
2453245.46860 -0.090 0.008 0.052 0.008 99.999 9.999 0.142 0.008 99.999 9.999 99.999 9.999


2453245.46934 -0.102 0.009 0.065 0.008 0.241 0.008 0.167 0.009 0.343 0.009 0.176 0.008




2453245.47046 -0.113 0.009 0.075 0.008 0.279 0.008 0.188 0.009 0.392 0.009 0.204 0.008
2453245.47083 -0.104 0.009 0.032 0.008 0.232 0.008 0.136 0.009 0.336 0.009 0.200 0.008
2453245.47120 -0.097 0.009 99.999 9.999 0.270 0.008 99.999 9.999 0.367 0.009 99.999 9.999
2453245.47159 -0.124 0.009 0.076 0.008 0.286 0.008 0.200 0.009 0.410 0.009 0.210 0.008
2453245.47196 -0.059 0.008 0.153 0.008 0.330 0.008 0.212 0.008 0.389 0.008 0.177 0.008
2453245.47233 -0.128 0.008 0.055 0.008 0.243 0.008 0.183 0.008 0.371 0.008 0.188 0.008
2453245.47270 -0.113 0.008 0.102 0.008 0.287 0.008 0.215 0.008 0.400 0.008 0.185 0.008
2453245.47308 -0.084 0.008 0.087 0.008 0.264 0.008 0.171 0.008 0.348 0.008 0.177 0.008
2453245.47345 -0.102 0.008 0.087 0.008 0.226 0.008 0.189 0.008 0.328 0.008 0.139 0.008
2453245.47382 -0.096 0.008 0.063 0.008 0.258 0.008 0.159 0.008 0.354 0.008 0.195 0.007


2453245.47457 -0.075 0.008 0.098 0.008 0.279 0.008 0.173 0.008 0.354 0.008 0.181 0.007
2453245.47494 -0.090 0.008 0.094 0.008 0.286 0.008 0.184 0.008 0.376 0.008 0.192 0.007


2453245.47568 -0.075 0.008 99.999 9.999 0.319 0.008 99.999 9.999 0.394 0.008 99.999 9.999
2453245.47606 -0.097 0.008 0.075 0.007 0.248 0.007 0.172 0.008 0.345 0.008 0.173 0.007


2453245.47681 -0.083 0.008 99.999 9.999 0.304 0.007 99.999 9.999 0.387 0.008 99.999 9.999
2453245.47718 -0.114 0.008 0.117 0.007 0.295 0.007 0.231 0.008 0.409 0.008 0.178 0.007


2453245.47793 99.999 9.999 0.083 0.007 0.233 0.007 99.999 9.999 99.999 9.999 0.150 0.007
2453245.47830 -0.088 0.008 0.084 0.007 0.257 0.007 0.172 0.008 0.345 0.008 0.173 0.007
2453245.47867 -0.130 0.008 0.064 0.007 0.228 0.007 0.194 0.008 0.358 0.008 0.164 0.007
2453245.47905 -0.091 0.008 0.069 0.007 0.265 0.007 0.160 0.008 0.356 0.008 0.196 0.007
2453245.47942 -0.071 0.008 0.078 0.007 0.245 0.007 0.149 0.008 0.316 0.008 0.167 0.007
2453245.47979 -0.086 0.008 0.132 0.007 0.285 0.007 0.218 0.008 0.371 0.008 0.153 0.007
2453245.48016 -0.107 0.008 0.102 0.007 0.286 0.007 0.209 0.008 0.393 0.008 0.184 0.007
2453245.48054 -0.108 0.008 0.091 0.007 0.260 0.007 0.199 0.008 0.368 0.008 0.169 0.007
2453245.48091 -0.093 0.008 0.114 0.007 0.284 0.007 0.207 0.008 0.377 0.008 0.170 0.007
2453245.48128 -0.109 0.008 0.096 0.007 0.261 0.007 0.205 0.008 0.370 0.008 0.165 0.007
2453245.48166 -0.118 0.008 0.063 0.007 0.214 0.007 0.181 0.008 0.332 0.008 0.151 0.007
2453245.48204 -0.111 0.008 0.066 0.007 0.242 0.007 0.177 0.008 0.353 0.008 0.176 0.007
2453245.48241 -0.087 0.008 0.094 0.007 0.265 0.007 0.181 0.008 0.352 0.008 0.171 0.007
2453245.48278 -0.097 0.008 0.127 0.007 0.309 0.007 0.224 0.008 0.406 0.008 0.182 0.007
2453245.48315 -0.096 0.008 0.106 0.007 0.299 0.007 0.202 0.008 0.395 0.008 0.193 0.007
2453245.48353 -0.104 0.008 0.078 0.007 0.253 0.007 0.182 0.008 0.357 0.008 0.175 0.007
2453245.48390 -0.095 0.008 0.082 0.007 0.237 0.007 0.177 0.008 0.332 0.008 0.155 0.007
2453245.48427 -0.097 0.008 0.090 0.007 0.278 0.007 0.187 0.008 0.375 0.008 0.188 0.007
2453245.48464 -0.093 0.008 0.143 0.008 0.318 0.008 0.236 0.008 0.411 0.008 0.175 0.007
2453245.48502 -0.095 0.008 0.090 0.007 0.255 0.007 0.185 0.008 0.350 0.008 0.165 0.007
2453245.48539 -0.085 0.008 0.095 0.007 0.258 0.007 0.180 0.008 0.343 0.008 0.163 0.007
2453245.48576 -0.111 0.008 0.094 0.007 0.260 0.007 0.205 0.008 0.371 0.008 0.166 0.007


2453245.48652 -0.100 0.008 0.081 0.007 0.254 0.007 0.181 0.008 0.354 0.008 0.173 0.007
2453245.48689 -0.124 0.008 0.121 0.007 0.292 0.007 0.245 0.008 0.416 0.008 0.171 0.007
2453245.48726 -0.095 0.008 0.112 0.007 0.316 0.006 0.207 0.008 0.411 0.007 0.204 0.006
2453245.48764 -0.094 0.008 0.109 0.007 0.267 0.007 0.203 0.008 0.361 0.008 0.158 0.007
2453245.48801 -0.103 0.008 0.073 0.007 0.251 0.007 0.176 0.008 0.354 0.008 0.178 0.007


2453245.48875 -0.099 0.008 0.057 0.007 0.216 0.007 0.156 0.008 0.315 0.008 0.159 0.007
2453245.48913 -0.104 0.008 99.999 9.999 0.298 0.008 99.999 9.999 0.402 0.008 99.999 9.999
2453245.48950 -0.088 0.008 0.076 0.007 0.251 0.007 0.164 0.008 0.339 0.008 0.175 0.007
2453245.48987 -0.121 0.008 0.044 0.007 0.256 0.007 0.165 0.008 0.377 0.008 0.212 0.007


2453245.49063 -0.102 0.008 0.125 0.007 0.303 0.007 0.227 0.008 0.405 0.008 0.178 0.007
2453245.49100 -0.090 0.008 0.121 0.008 0.284 0.008 0.211 0.008 0.374 0.008 0.163 0.007
2453245.49137 -0.092 0.008 0.076 0.007 0.252 0.007 0.168 0.008 0.344 0.008 0.176 0.007
2453245.49174 99.999 9.999 0.084 0.008 0.260 0.008 99.999 9.999 99.999 9.999 0.176 0.007
2453245.49212 -0.070 0.008 0.071 0.008 0.248 0.008 0.141 0.008 0.318 0.008 0.177 0.007
2453245.49249 -0.093 0.008 0.117 0.008 0.280 0.008 0.210 0.008 0.373 0.008 0.163 0.007


2453245.49323 99.999 9.999 0.117 0.008 0.293 0.008 99.999 9.999 99.999 9.999 0.176 0.007
2453245.49361 -0.137 0.009 0.104 0.008 0.250 0.008 0.241 0.009 0.387 0.009 0.146 0.008
2453245.49398 -0.090 0.008 0.124 0.008 0.281 0.008 0.214 0.008 0.371 0.008 0.157 0.008


2453245.49472 -0.085 0.009 0.061 0.008 0.222 0.008 0.146 0.009 0.307 0.009 0.161 0.008
2453245.49510 -0.088 0.010 0.114 0.009 0.317 0.009 0.202 0.009 0.405 0.009 0.203 0.008
2453245.49547 -0.136 0.011 0.094 0.011 0.241 0.011 0.230 0.011 0.377 0.011 0.147 0.010
2453245.49584 -0.112 0.012 99.999 9.999 0.329 0.011 99.999 9.999 0.441 0.011 99.999 9.999
2453245.49622 -0.080 0.015 0.078 0.014 0.249 0.013 0.158 0.015 0.329 0.014 0.171 0.013
2453245.49660 -0.053 0.023 0.091 0.022 0.304 0.021 0.144 0.023 0.357 0.021 0.213 0.020
2453245.49697 99.999 9.999 0.104 0.020 0.283 0.019 99.999 9.999 99.999 9.999 0.179 0.018
2453245.49734 -0.128 0.020 0.117 0.018 0.295 0.016 0.245 0.019 0.423 0.018 0.178 0.016
2453245.49771 -0.042 0.017 0.053 0.016 0.235 0.016 0.095 0.016 0.277 0.016 0.182 0.015


2453245.49846 -0.048 0.028 0.046 0.027 0.212 0.025 0.094 0.028 0.260 0.026 0.166 0.025
2453245.49883 -0.078 0.034 0.090 0.031 0.173 0.030 0.168 0.033 0.251 0.032 0.083 0.029
